Dataset:              Benthic Taxonomy Information
File Name:            ben_tax.dat
Date Created:         06/08/10
# Variables:          7
# Header Records:     18
# Data Records:       745
Delimiter:            ,
Missing Value Symbol: .

Variables:        TSN            ITIS Taxonomic Serial Number 
                  TSN_NAME       ITIS Taxa Latin Name              
                  PHYLUM         Taxonomic Phylum            
                  CLASS          Taxonomic Class            
                  ORDER          Taxonomic Order            
                  FAMILY         Taxonomic Family           
                  GENUS          Taxonomic Genus             

tsn,PHYLUM,CLASS,ORDER,FAMILY,GENUS,tsn_name,ntsn,STATUS,TAXON_RANK_NAME,old_name,KINGDOM,SPECIES,
54089,Platyhelminth,Turbellaria,Polycladida,Stylochidae,Stylochus,Stylochus ellipticus,54089,A,Species, , ,ellipticus,
542632,Arthropoda,Malacostraca,Isopoda,Anthuridae,Cyathura,Cyathura burbancki,542632,A,Species, , ,burbancki,
542646,Arthropoda,Malacostraca,Isopoda,Anthuridae,Cyathura,Cyathura polita,542646,A,Species, , ,polita,
544179,Arthropoda,Malacostraca,Isopoda,Idoteidae,Edotia,Edotia montosa,544179,A,Species, ,Animalia,montosa,
544186,Arthropoda,Malacostraca,Isopoda,Idoteidae,Edotia,Edotia triloba,544186,A,Species, , ,triloba,
546029,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Paracerceis,Paracerceis caudata,546029,A,Species, ,Animalia,caudata,
54711,Platyhelminth,Trematoda,Monopisthocotyl,Dactylogyridae,Ancyrocephalus,Ancyrocephalus,54711,A,Genus, , , ,
555698,Annelida,Polychaeta,Aciculata,Hesionidae,Podarkeopsis,Podarkeopsis levifuscina,555698,A,Species, , ,levifuscina,
567846,Mollusca,Bivalvia,Veneroida,Tellinidae,Macoma,Macoma balthica,567846,A,Species, , ,balthica,
573719,Annelida,Polychaeta,Canalipalpata,Cirratulidae,Aphelochaeta,Aphelochaeta,573719,A,Genus, , , ,
573737,Annelida,Polychaeta,Canalipalpata,Cirratulidae,Aphelochaeta,Aphelochaeta marioni,573737,A,Species, , ,marioni,
573739,Annelida,Polychaeta,Canalipalpata,Spionidae,Marenzelleria,Marenzelleria viridis,573739,A,Species, , ,viridis,
57411,Nemertea, , , , ,Nemertea,57411,A,Phylum, , , ,
57416,Nemertea,Anopla,Paleonemertea,Tubulanidae,Tubulanus,Tubulanus,57416,A,Genus, , , ,
57429,Nemertea,Anopla,Paleonemertea,Carinomidae,Carinoma,Carinoma tremaphoros,57429,A,Species, , ,tremaphoros,
57443,Nemertea,Anopla,Heteronemertea,Lineidae, ,Lineidae,57443,A,Family, , , ,
57477,Nemertea,Anopla,Heteronemertea,Lineidae,Micrura,Micrura leidyi,57477,A,Species, , ,leidyi,
57533,Nemertea,Enopla,Hoplonemertea,Amphiporidae,Amphiporus,Amphiporus bioculatus,57533,A,Species, , ,bioculatus,
609939,Arthropoda,Ostracoda,Podocopida, , ,Podocopida,609939,A,Order, , , ,
64397,Annelida,Polychaeta,Aciculata,Polynoidae, ,Polynoidae,64397,A,Family, , , ,
64411,Annelida,Polychaeta,Aciculata,Polynoidae,Bylgides,Bylgides sarsi,64411,S,Species,Antinoella sarsi, ,sarsi,
64502,Annelida,Polychaeta,Aciculata,Polynoidae,Harmothoe,Harmothoe,64502,A,Genus, , , ,
64513,Annelida,Polychaeta,Aciculata,Polynoidae,Harmothoe,Harmothoe imbricata,64513,A,Species, , ,imbricata,
64604,Annelida,Polychaeta,Aciculata,Polynoidae,Lepidonotus,Lepidonotus squamatus,64604,A,Species, , ,squamatus,
64610,Annelida,Polychaeta,Aciculata,Polynoidae,Lepidonotus,Lepidonotus sublevis,64610,A,Species, , ,sublevis,
64715,Annelida,Polychaeta,Aciculata,Polynoidae,Hartmania,Hartmania moorei,64715,A,Species, , ,moorei,
65072,Annelida,Polychaeta,Aciculata,Sigalionidae, ,Sigalionidae,65072,A,Family, , , ,
65074,Annelida,Polychaeta,Aciculata,Pholoidae,Pholoe,Pholoe minuta,65074,A,Species, , ,minuta,
65084,Annelida,Polychaeta,Aciculata,Sigalionidae,Sthenelais,Sthenelais boa,65084,A,Species, , ,boa,
65086,Annelida,Polychaeta,Aciculata,Sigalionidae,Sthenelais,Sthenelais limicola,65086,A,Species, , ,limicola,
65094,Annelida,Polychaeta,Aciculata,Sigalionidae,Sigalion,Sigalion arenicola,65094,A,Species, , ,arenicola,
65136,Annelida,Polychaeta,Aciculata,Sigalionidae,Fimbriosthenelais,Fimbriosthenelais,65136,A,Genus, , , ,
65138,Annelida,Polychaeta,Aciculata,Sigalionidae,Fimbriosthenelais,Fimbriosthenelais minor,65138,A,Species, ,Animalia,minor,
65143,Annelida,Polychaeta,Aciculata,Pisionidae,Pisione,Pisione remota,65143,A,Species, , ,remota,
65176,Annelida,Polychaeta,Aciculata,Amphinomidae,Pseudeurythoe,Linopherus paucibracnchiata,65176,S,Species,Pseudeurythoe paucibranchiata,Animalia,paucibracnchiata,
65228,Annelida,Polychaeta,Aciculata,Phyllodocidae, ,Phyllodocidae,65228,A,Family, , , ,
65239,Annelida,Polychaeta,Aciculata,Phyllodocidae,Anaitides,Anaitides mucosa,65239,S,Species,Phyllodoce mucosa, ,mucosa,
65241,Annelida,Polychaeta,Aciculata,Phyllodocidae,Phyllodoce,Anaitides maculata,65241,S,Species,Phyllodoce maculata,Animalia,maculata,
65263,Annelida,Polychaeta,Aciculata,Phyllodocidae,Eteone,Eteone longa,65263,A,Species, , ,longa,
65266,Annelida,Polychaeta,Aciculata,Phyllodocidae,Eteone,Eteone heteropoda,65266,A,Species, , ,heteropoda,
65267,Annelida,Polychaeta,Aciculata,Phyllodocidae,Eteone,Eteone lactea,65267,A,Species, , ,lactea,
65276,Annelida,Polychaeta,Aciculata,Phyllodocidae,Eteone,Eteone fauchaldi,65276,A,Species, , ,fauchaldi,
65321,Annelida,Polychaeta,Aciculata,Phyllodocidae,Paranaitis,Paranaitis speciosa,65321,A,Species, ,Animalia,speciosa,
