Dataset:              Fish Trawl Data
File Name:            FTRAWL.dat
Date Created:         06/08/10
# Variables:          12
# Header Records:     23
# Data Records:       1362
Delimiter:            ,
Missing Value Symbol: .

Variables:    STATION       Station Name                          
              STAT_ALT      Alternate Site Sampled (A B or C)   
              EVNTDATE      Event Date                           
              FTRLTYPE	   Type of Fish Trawl                  
              FTRLFLAG      Status of Completed Fish Trawl      
              FSPECCNT      Total Fish Species in Trawl (#)     
              FT_DUR        Duration of Fish Trawl (mmss)       
              FWTR_SPD      Trawl Speed through Water (knots)    
              BEG_LAT       Fish Trawl Beginning Latitude (dd)   
              BEG_LNG       Fish Trawl Beginning Longitude (dd)  
              END_LAT       Fish Trawl End Latitude (dd)         
              END_LNG       Fish Trawl End Longitude (dd)        

STATION,STAT_ALT,EVNTDATE,FTRLTYPE,FTRLFLAG,FSPECCNT,FT_DUR,FWTR_SPD,BEG_LAT,BEG_LNG,END_LAT,END_LNG,FTRAWLID,
MA00-0139,A,09/06/00,MA, ,10,20:00,.,41.8452,-70.4125,41.8548,-70.4238, ,
MA00-0141,A,09/06/00,MA, ,10,20:00,.,41.8035,-70.386,41.7927,-70.395, ,
MA00-0143,A,09/06/00,MA, ,7,20:00,.,41.748,-70.3285,41.7537,-70.3138, ,
MA00-0145,A,09/06/00,MA, ,5,20:00,.,41.8045,-70.4913,41.8085,-70.495, ,
ME00-0089,A,08/10/00,NH, ,2,04:00,.,43.1351,-70.8289,43.1362,-70.8296, ,
NH00-0007,A,08/18/00,NH, ,0,04:00,.,42.9049,-70.8235,42.9026,-70.8226, ,
NH00-0009,A,08/18/00,NH, ,0,04:00,.,42.9125,-70.8378,42.9122,-70.8351, ,
NH00-0013,A,08/08/00,NH, ,1,04:00,.,43.0317,-70.9365,43.0311,-70.9364, ,
NH00-0015,A,08/08/00,NH, ,4,04:00,2.0,43.0438,-70.9189,43.0457,-70.9166, ,
NH00-0017,A,08/11/00,NH, ,0,04:00,.,43.0613,-70.8993,43.0623,-70.8977, ,
NH00-0019,A,08/02/00,NH, ,4,04:00,.,43.0597,-70.855,43.059,-70.8522, ,
NH00-0021,A,08/15/00,NH, ,1,04:05,.,43.052,-70.7598,43.052,-70.7574, ,
NH00-0023,A,08/15/00,NH, ,3,04:03,.,43.0539,-70.7199,43.0537,-70.7225, ,
NH00-0025,A,08/08/00,NH, ,4,04:00,.,43.0649,-70.9065,43.0648,-70.9103, ,
NH00-0027,B,08/09/00,NH, ,0,04:00,.,43.067,-70.8663,43.0661,-70.8639, ,
NH00-0029,A,08/15/00,NH, ,0,04:03,.,43.0679,-70.7373,43.0687,-70.735, ,
NH00-0031,A,08/15/00,NH, ,0,04:03,.,43.0666,-70.707,43.0657,-70.7072, ,
NH00-0035,A,08/09/00,NH, ,3,04:00,.,43.0828,-70.8728,43.082,-70.8753, ,
NH00-0043,A,08/17/00,NH,UNSUCCESSFUL,., ,.,.,.,.,., ,
NH00-0045,A,08/02/00,NH, ,0,04:00,.,43.1071,-70.856,43.1087,-70.856, ,
NH00-0047,A,08/17/00,NH, ,0,04:00,.,43.1133,-70.8062,43.1142,-70.8075, ,
NH00-0049,A,08/14/00,NH, ,4,04:01,.,43.1272,-70.8815,43.1258,-70.879, ,
NH00-0051,A,08/10/00,NH, ,2,04:01,.,43.1227,-70.8404,43.1232,-70.842, ,
NH00-0057,A,08/03/00,NH, ,4,04:01,.,43.1627,-70.8292,43.1612,-70.8293, ,
NH00-0059,A,08/10/00,NH, ,3,04:00,.,43.1722,-70.8647,43.1708,-70.8631, ,
NH00-0063,A,08/03/00,NH, ,6,04:00,.,43.1853,-70.8388,43.1836,-70.8365, ,
NH00-0067,C,08/03/00,NH,UNSUCCESSFUL,1,03:50,.,43.197,-70.8646,43.197,-70.8633, ,
NJ00-0001,A,08/22/00,NCA, ,4,10:00,1.2,40.4848,-74.3427,40.4841,-74.3466, ,
NJ00-0003,B,08/15/00,NCA, ,4,10:00,1.2,40.4329,-74.0341,40.4343,-74.0382, ,
NJ00-0005,A,08/22/00,NCA, ,5,10:00,1.3,40.5064,-74.3142,40.5041,-74.3167, ,
NJ00-0007,A,08/10/00,NCA, ,13,10:00,1.8,40.4757,-74.0713,40.4747,-74.065, ,
NJ00-0009,A,08/10/00,NCA, ,14,10:00,1.5,40.6607,-74.1413,40.6643,-74.1391, ,
NJ00-0011,B,08/21/00,NCA, ,4,10:00,.,40.7626,-74.1608,40.7608,-74.1625, ,
NJ00-0013,A,08/21/00,NCA, ,2,10:00,.,40.8052,-74.1398,40.8068,-74.1397, ,
NJ00-0015,A,08/16/00,NCA,UNSUCCESSFUL,., ,0.6,40.9231,-73.9189,.,., ,
NJ00-0017,A,09/12/00,NCA, ,8,10:00,.,38.994,-74.8343,38.9914,-74.8333, ,
NJ00-0019,A,08/31/00,NCA, ,2,10:00,.,39.0919,-74.7382,39.0885,-74.7393, ,
NJ00-0021,A,08/31/00,NCA, ,5,10:00,.,39.1213,-74.7188,39.1239,-74.7168, ,
NJ00-0023,A,08/31/00,NCA, ,2,10:00,.,39.2033,-74.6554,39.205,-74.6558, ,
NJ00-0025,A,09/12/00,NCA, ,3,10:00,.,39.2918,-74.6195,39.2892,-74.6162, ,
NJ00-0027,A,09/11/00,NCA, ,3,10:00,.,39.3656,-74.7159,39.3637,-74.7166, ,
NJ00-0029,A,09/08/00,NCA, ,4,10:00,.,39.3697,-74.4744,39.3688,-74.4708, ,
NJ00-0031,A,09/11/00,NCA, ,4,10:00,.,39.4478,-74.7234,39.4481,-74.7274, ,
NJ00-0033,A,09/08/00,NCA,UNSUCCESSFUL,.,10:00,.,39.4439,-74.4541,39.441,-74.4555, ,
NJ00-0035,A,09/07/00,NCA, ,4,10:18,.,39.5048,-74.3985,39.508,-74.3964, ,
NJ00-0037,A,09/07/00,NCA, ,1,14:45,.,39.5932,-74.5505,39.5918,-74.5486, ,
NJ00-0039,A,09/06/00,NCA, ,4,10:00,.,39.5541,-74.314,39.5523,-74.3165, ,
NJ00-0041,A,09/07/00,NCA, ,1,08:00,1.2,39.6112,-74.5879,39.6097,-74.5868, ,
