Dataset:              Station Location and Information Data
File Name:            CP_STAT.txt
Date Created:         02Dec1998
# Variables:          12
# Header Records:     22
# Data Records:       343
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Station Name
              CLASCODE     Carolinian Province Office Station Type
              STRATA       Estuary Class Code
              STA_AREA     Statistical Area of Station (sq. km)
              ESTUARY      Estuary Name
              LATDEG       Latitude (decimal degrees)
              LNGDEG       Longitude (-decimal degrees)
              DEPTH        Depth (m) at Time of WQ Profile
              STATE        State of Estuary (2 Letter Postal Code)
              EMAPSTAT     EMAP Station Name
              SEGMENT      EMAP River Segment Number (SPUNIT)
              MAIASTAT     MAIA Station Code

STA_NAME;CLASCODE;STRATA;STA_AREA;ESTUARY;LATDEG;LNGDEG;DEPTH;STATE;EMAPSTAT;SEGMENT;MAIASTAT
CP94063;Random-Base;LR;280.0;Albemarle Sound;36.0060;-76.5358;1.2;NC;CA94LR06; ; 
CP94064;Random-Base;LR;280.0;Albemarle Sound;36.0198;-75.9262;5.7;NC;CA94LR07; ; 
CP94065;Random-Base;SR;10.2;Edenton Bay;36.0453;-76.6190;2.5;NC;CA94SR04; ; 
CP94066;Random-Base;LR;280.0;Albemarle Sound;36.0525;-76.3088;6.1;NC;CA94LR08; ; 
CP94067;Random-Base;SR;8.5;Yeopim River;36.0835;-76.4555;2.0;NC;CA94SR03; ; 
CP94068;Random-Base;LR;280.0;Currituck Sound;36.0983;-75.7797;1.7;NC;CA94LR01; ; 
CP94069;Random-Base;LR;280.0;Albemarle Sound;36.1215;-75.9385;5.5;NC;CA94LR09; ; 
CP94070;Random-Base;LR;280.0;Currituck Sound;36.1447;-75.7477;0.5;NC;CA94LR02; ; 
CP94071;Random-Base;LR;280.0;Currituck Sound;36.3858;-75.8550;0.8;NC;CA94LR03; ; 
CP94072;Random-Base;SR;8.8;Northwest River;36.5143;-76.0410;1.5;NC;CA94SR02; ; 
CP94073;Random-Base;SR;27.7;Calibogue Sound;32.1703;-80.7957;12.9;SC;CA94SR34; ; 
CP94074;Random-Base;SR;11.9;Trenchards Inlet;32.2797;-80.5933;4.1;SC;CA94SR32; ; 
CP94075;Random-Base;SR;28.3;Chechessee River;32.2852;-80.7490;10.9;SC;CA94SR33; ; 
CP94076;Random-Base;SR;3.5;Saint Pierre Creek;32.5393;-80.3497;7.9;SC;CA94SR30; ; 
CP94077;Random-Base;SR;17.4;Combahee River;32.5592;-80.5472;7.5;SC;CA94SR31; ; 
CP94078;Random-Base;SR;6.9;Bohicket Creek;32.6143;-80.1663;6.1;SC;CA94SR29; ; 
CP94079;Random-Base;SR;25.9;Charleston Harbor;32.7645;-79.8867;10.9;SC;CA94SR27; ; 
CP94080;Random-Base;SR;20.5;Dewees Creek;32.8280;-79.7387;3.7;SC;CA94SR26; ; 
CP94081;Random-Base;SR;70.6;Bulls Bay;32.9930;-79.5593;1.2;SC;CA94SR25; ; 
CP94082;Random-Base;SR;5.8;Sampit River;33.3585;-79.2918;4.7;SC;CA94SR24; ; 
CP94083;Random-Base;SR;4.4;Little River;33.8550;-78.5653;5.5;SC;CA94SR23; ; 
CP94084;Random-Base;SR;10.8;Albemarle-Chesapeake Canal;36.7238;-76.1877;0.7;VA;CA94SR01; ; 
CP94CF_;Supplement; ;.;Cape Fear River;34.1242;-77.9273;2.5;NC; ; ; 
CP94DSL;Supplement; ;.;Diesel Creek;32.8158;-79.9625;1.2;SC; ; ; 
CP94ES4;Supplement; ;.;Currituck Banks;36.3932;-75.8490;1.0;NC; ; ; 
CP94JAC;Supplement; ;.;Jacksonville;30.3828;-81.4498;12.9;FL; ; ; 
CP94KOP;Supplement; ;.;Kopper's Site;32.8187;-79.9638;.;SC; ; ; 
