Dataset:              Fish Species Abundance Data
File Name:            va91_4_2.txt
Date Created:         02/23/96
# Variables:          6
# Header Records:     16
# Data Records:       477
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              LATIN NAME   Scientific (Latin) name
              T_ABN        # of individuals collected of the taxon
              M_LEN        Mean length (mm) of fish in taxon
              SDLEN        Standard dev. (mm) of length

STA_NAME   DATE LATIN NAME                               T_ABN    M_LEN  SDLEN
VA91-292 910822 SYNODUS FOETENS                              1   120.00    .  
VA91-292 910822 TRINECTES MACULATUS                          6   111.17  13.54
VA91-294 910730 AMEIURUS CATUS                               1   100.00    .  
VA91-294 910730 BREVOORTIA TYRANNUS                          2   105.50  10.61
VA91-294 910730 ICTALURUS FURCATUS                          14   177.00  35.69
VA91-294 910730 ICTALURUS PUNCTATUS                          9   236.78  44.22
VA91-294 910730 LEIOSTOMUS XANTHURUS                         7   109.29   6.75
VA91-294 910730 MICROPOGONIAS UNDULATUS                      1   120.00    .  
VA91-294 910730 MORONE AMERICANA                            10   128.60  21.73
VA91-294 910730 TRINECTES MACULATUS                          3    89.00  13.45
VA91-295 910821 PARALICHTHYS DENTATUS                       12   167.08  17.82
VA91-295 910821 SCOPHTHALMUS AQUOSUS                         1   119.00    .  
VA91-295 910821 STENOTOMUS CHRYSOPS                          1   195.00    .  
VA91-296 910821 CHAETODIPTERUS FABER                         1    77.00    .  
VA91-296 910821 LEIOSTOMUS XANTHURUS                         2   139.50  13.44
VA91-296 910821 OPSANUS TAU                                  2   136.50   2.12
VA91-296 910821 PEPRILUS ALEPIDOTUS                         20    61.85  17.17
VA91-296 910821 SYMPHURUS PLAGIUSA                           1   140.00    .  
VA91-298 910730 BREVOORTIA TYRANNUS                          2    93.00   9.90
VA91-298 910730 DOROSOMA CEPEDIANUM                          1   320.00    .  
VA91-298 910730 LEIOSTOMUS XANTHURUS                         4   113.75  14.66
VA91-300 910729 AMEIURUS CATUS                               1   120.00    .  
VA91-300 910729 ICTALURUS FURCATUS                         110   130.63  23.37
VA91-300 910729 ICTALURUS PUNCTATUS                         13   154.00  31.37
VA91-300 910729 MORONE AMERICANA                            20   102.20  18.13
VA91-300 910729 TRINECTES MACULATUS                          1    92.00    .  
VA91-302 910728 LEIOSTOMUS XANTHURUS                         1   128.00    .  
VA91-302 910728 MICROPOGONIAS UNDULATUS                      4   163.75   8.54
VA91-302 910728 PARALICHTHYS DENTATUS                        1   132.00    .  
VA91-302 910728 TRINECTES MACULATUS                          3   109.00  23.00
VA91-303 910827 ANCHOA MITCHILLI                             1    58.00    .  
VA91-303 910827 LEIOSTOMUS XANTHURUS                        18   132.61   7.14
VA91-303 910827 MICROPOGONIAS UNDULATUS                      6   157.50   9.38
VA91-303 910827 PEPRILUS ALEPIDOTUS                          5    57.40   4.51
VA91-307 910827 ANCHOA HEPSETUS                              1    92.00    .  
VA91-307 910827 CHAETODIPTERUS FABER                         1    86.00    .  
VA91-307 910827 LEIOSTOMUS XANTHURUS                         4   136.25   3.77
VA91-307 910827 MICROPOGONIAS UNDULATUS                      7   181.29  18.35
VA91-307 910827 SPHOEROIDES MACULATUS                        2   112.00  53.74
VA91-307 910827 SYNODUS FOETENS                              3   179.33  57.05
VA91-307 910827 TRINECTES MACULATUS                          1   106.00    .  
VA91-309 910729 ALOSA AESTIVALIS                             7    55.71   1.70
VA91-309 910729 ALOSA PSEUDOHARENGUS                         3    67.33   1.53
VA91-309 910729 ICTALURUS FURCATUS                          19   132.89  26.71
VA91-309 910729 ICTALURUS PUNCTATUS                          1   220.00    .  
VA91-312 910728 LEIOSTOMUS XANTHURUS                         1   121.00    .  
VA91-314 910724 LEIOSTOMUS XANTHURUS                         1   114.00    .  
VA91-315 910724 LEIOSTOMUS XANTHURUS                        20   142.80  24.41
VA91-315 910724 MICROPOGONIAS UNDULATUS                     21   149.33  13.71
VA91-315 910724 MORONE AMERICANA                           157   172.37  18.14
VA91-315 910724 MORONE SAXATILIS                             1   204.00    .  
VA91-315 910724 OPSANUS TAU                                  9   241.00  23.22
