Dataset:              Fish Species List
File Name:            fish_tax.txt
Date Created:         5/26/1999
# Variables:          5
# Header Records:     15
# Data Records:       468
Missing Value Symbol: .

Variables:    TSN          Integrated Taxonomic Information System (ITIS) serial number
              SPECCODE     EMAP Species Code
              GENUS        Genus
              SPECIES      Species
              LATNAME      Latin Name

TSN,SPECCODE,GENUS,SPECIES,LATNAME,
161841,ANCHLAMP,ANCHOA,LAMPROTAENIA,ANCHOA LAMPROTAENIA,
161929,SALMON01, , ,SALMONIFORMES,
162028,OSMERU02, , ,OSMERIDAE UNCL,
162038,OSMERU01,OSMERUS,SP,OSMERUS SP,
162041,OSMEMORD,OSMERUS,MORDAX,OSMERUS MORDAX,
162374,SYNODO01, , ,SYNODONTIDAE UNCL,
162375,SYNODU01,SYNODUS,SP,SYNODUS SP,
162376,SYNOFOET,SYNODUS,FOETENS,SYNODUS FOETENS,
162846,CYPRIN03, , ,CYPRINIFORMES,
163342,CYPRIN02, , ,CYPRINIDAE UNCL,
163343,CYPRIN01,CYPRINUS,SP,CYPRINUS SP,
163344,CYPRCARP,CYPRINUS,CARPIO,CYPRINUS CARPIO,
163349,CARASS01,CARASSIUS,SP,CARASSIUS SP,
163350,CARAAURA,CARASSIUS,AURATUS,CARASSIUS AURATUS,
163367,NOTEMI01,NOTEMIGONUS,SP,NOTEMIGONUS SP,
163368,NOTECRYS,NOTEMIGONUS,CRYSOLEUCAS,NOTEMIGONUS CRYSOLEUCAS,
163399,NOTROP01,NOTROPIS,SP,NOTROPIS SP,
163404,NOTRHUDS,NOTROPIS,HUDSONIUS,NOTROPIS HUDSONIUS,
163412,NOTRATHE,NOTROPIS,ATHERINOIDES,NOTROPIS ATHERINOIDES,
163892,CATOST02, , ,CATOSTOMIDAE UNCL,
163893,CATOST01,CATOSTOMUS,SP,CATOSTOMUS SP,
163895,CATOCOMM,CATOSTOMUS,COMMERSONI,CATOSTOMUS COMMERSONI,
163916,CARPIO01,CARPIODES,SP,CARPIODES SP,
163917,CARPCYPR,CARPIODES,CYPRINUS,CARPIODES CYPRINUS,
163927,MOXOST01,MOXOSTOMA,SP,MOXOSTOMA SP,
163928,MOXOMACR,MOXOSTOMA,MACROLEPIDOTUM,MOXOSTOMA MACROLEPIDOTUM,
163948,HYPENT01,HYPENTELIUM,SP,HYPENTELIUM SP,
163949,HYPENIGR,HYPENTELIUM,NIGRICANS,HYPENTELIUM NIGRICANS,
163992,SILURI01, , ,SILURIFORMES,
163995,ICTALU01, , ,ICTALURIDAE UNCL,
163996,ICTALU02,ICTALURUS,SP,ICTALURUS SP,
163997,ICTAFURC,ICTALURUS,FURCATUS,ICTALURUS FURCATUS,
