PUBLICATION_DATE,TAXA_ID,TARGET_TAXON,APHIA_ID,ITISTSN,HABITAT,PHYLUM,CLASS,ORDER,FAMILY
4/27/2021,67,ALPHEUS,106978,,EST,ARTHROPODA,MALACOSTRACA,DECAPODA,ALPHEIDAE
4/27/2021,68,ALVANIA,138439,,EST,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,RISSOIDAE
4/27/2021,69,ALVANIA COMPACTA,580527,,EST,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,RISSOIDAE
4/27/2021,70,ALVANIA ROSANA,580530,,EST,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,RISSOIDAE
4/27/2021,71,AMAEANA OCCIDENTALIS,332917,,EST,ANNELIDA,POLYCHAETA,TEREBELLIDA,TEREBELLIDAE
4/27/2021,72,AMAGE CORRUGATA,851797,,EST,ANNELIDA,POLYCHAETA,TEREBELLIDA,AMPHARETIDAE
4/27/2021,73,AMAGE SCUTATA,326277,,EST,ANNELIDA,POLYCHAETA,TEREBELLIDA,AMPHARETIDAE
4/27/2021,74,AMAKUSANTHURA MAGNIFICA,255365,,EST,ARTHROPODA,MALACOSTRACA,ISOPODA,ANTHURIDAE
4/27/2021,75,AMAKUSANTHURA SIGNATA,255374,,EST,ARTHROPODA,MALACOSTRACA,ISOPODA,ANTHURIDAE
4/27/2021,76,AMASTIGOS CAPERATUS,157156,,EST,ANNELIDA,POLYCHAETA,,CAPITELLIDAE
4/27/2021,77,AMBIDEXTER SYMMETRICUS,421788,,EST,ARTHROPODA,MALACOSTRACA,DECAPODA,PROCESSIDAE
4/27/2021,78,AMERICAMYSIS,161519,,EST,ARTHROPODA,MALACOSTRACA,MYSIDA,MYSIDAE
4/27/2021,79,AMERICAMYSIS ALLENI,226212,,EST,ARTHROPODA,MALACOSTRACA,MYSIDA,MYSIDAE
4/27/2021,80,AMERICAMYSIS ALMYRA,161345,,EST,ARTHROPODA,MALACOSTRACA,MYSIDA,MYSIDAE
4/27/2021,81,AMERICAMYSIS BAHIA,226286,,EST,ARTHROPODA,MALACOSTRACA,MYSIDA,MYSIDAE
4/27/2021,82,AMERICAMYSIS BIGELOWI,161344,,EST,ARTHROPODA,MALACOSTRACA,MYSIDA,MYSIDAE
4/27/2021,83,AMERICAMYSIS STUCKI,227001,,EST,ARTHROPODA,MALACOSTRACA,MYSIDA,MYSIDAE
4/27/2021,84,AMERICHELIDIUM,415039,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,85,AMERICHELIDIUM AMERICANUM,421529,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,86,AMERICHELIDIUM RECTIPALMUM,546997,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,87,AMERICHELIDIUM SHOEMAKERI,546990,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,88,AMERICOROPHIUM,415041,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,COROPHIIDAE
4/27/2021,89,AMERICOROPHIUM BREVIS,431325,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,COROPHIIDAE
4/27/2021,90,AMERICOROPHIUM SALMONIS,431328,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,COROPHIIDAE
4/27/2021,91,AMERICOROPHIUM SPINICORNE,431330,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,COROPHIIDAE
4/27/2021,92,AMERITELLA AGILIS,878476,,EST,MOLLUSCA,BIVALVIA,CARDIIDA,TELLINIDAE
