PUBLICATION_DATE,UNIQUE_ID,UID,SITE_ID,YEAR,VISIT_NO,DATE_COL,PSTL_CODE,LAT_DD,LON_DD,STATION_DEPTH,DSGN_CYCLE,IND_DOMAIN,EPA_REG,EVAL_CAT,FEAT_NM,LAT_DD84,LON_DD84,NCA_REG,NCCA_REG,NEP_NAME,NEP_NAT,PROVINCE,SITETYPE,STATE_NM,WTBDY_NM,WTBDY_TYPE,XCOORD,YCOORD,INDEX_RF
10/31/2024,NRF_AS-10084,2016773,NCA20_AS-10078,2021,1,7/21/2021,AS,-14.31302499,-170.8340403,0.39,2020,CORE,Region_09,Target_Sampled,None,-14.31302499,-170.8340403,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,517897.6127,8417647.826,Y
10/31/2024,NRF_AS-10089,2016774,NCA20_AS-10079,2021,1,7/27/2021,AS,-14.27293211,-170.6200988,1.1,2020,CORE,Region_09,Target_Sampled,None,-14.27293211,-170.6200988,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,540977.2055,8422054.922,Y
10/31/2024,NRF_AS-10107,2016775,NCA20_AS-10080,2021,1,7/20/2021,AS,-14.29917187,-170.6833991,0.2,2020,CORE,Region_09,Target_Sampled,None,-14.29917187,-170.6833991,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,534145.4403,8419163.059,Y
10/31/2024,NRF_AS-10080,2016776,NCA20_AS-10084,2021,1,7/26/2021,AS,-14.2599281,-170.5898716,0.7,2020,CORE,Region_09,Target_Sampled,None,-14.2599281,-170.5898716,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,544240.1859,8423487.624,Y
10/31/2024,NRF_AS-10085,2016777,NCA20_AS-10086,2021,1,7/21/2021,AS,-14.31543833,-170.8343923,0.24,2020,CORE,Region_09,Target_Sampled,None,-14.31543833,-170.8343923,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,517859.466,8417380.942,Y
10/31/2024,NRF_AS-10096,2016778,NCA20_AS-10087,2021,1,7/26/2021,AS,-14.27482937,-170.5781836,0.83,2020,CORE,Region_09,Target_Sampled,None,-14.27482937,-170.5781836,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,545497.9852,8421837.286,Y
10/31/2024,NRF_AS-10071,2016779,NCA20_AS-10088,2021,1,7/27/2021,AS,-14.25073682,-170.6248004,1,2020,CORE,Region_09,Target_Sampled,None,-14.25073682,-170.6248004,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,540474.0347,8424510.536,Y
10/31/2024,NRF_AS-10072,2016780,NCA20_AS-10089,2021,1,7/23/2021,AS,-14.31924705,-170.7014441,0.9,2020,CORE,Region_09,Target_Sampled,None,-14.31924705,-170.7014441,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,532196.4077,8416945.34,Y
10/31/2024,NRF_AS-10097,2016781,NCA20_AS-10091,2021,1,7/27/2021,AS,-14.26896419,-170.6150449,0.63,2020,CORE,Region_09,Target_Sampled,None,-14.26896419,-170.6150449,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,541523.0766,8422492.876,Y
10/31/2024,NRF_AS-10082,2016782,NCA20_AS-10093,2021,1,7/22/2021,AS,-14.32087261,-170.7020809,0.72,2020,CORE,Region_09,Target_Sampled,None,-14.32087261,-170.7020809,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,532127.4986,8416765.643,Y
10/31/2024,NRF_AS-10103,2016783,NCA20_AS-10094,2021,1,7/21/2021,AS,-14.33203094,-170.8069303,0.37,2020,CORE,Region_09,Target_Sampled,None,-14.33203094,-170.8069303,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,520819.4996,8415543.53,Y
10/31/2024,NRF_AS-10083,2016784,NCA20_AS-10095,2021,1,7/27/2021,AS,-14.25737007,-170.6056637,2,2020,CORE,Region_09,Target_Sampled,None,-14.25737007,-170.6056637,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,542537.1569,8423773.487,Y
10/31/2024,NRF_AS-10098,2016785,NCA20_AS-10096,2021,1,7/28/2021,AS,-14.28166595,-170.6309201,1.2,2020,CORE,Region_09,Target_Sampled,None,-14.28166595,-170.6309201,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,539808.4416,8421090.844,Y
10/31/2024,NRF_AS-10099,2016786,NCA20_AS-10097,2021,1,7/29/2021,AS,-14.27246846,-170.6669317,2.5,2020,CORE,Region_09,Target_Sampled,None,-14.27246846,-170.6669317,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,535925.7017,8422113.951,Y
10/31/2024,NRF_AS-10104,2016787,NCA20_AS-10098,2021,1,7/21/2021,AS,-14.32919178,-170.8074923,0.35,2020,CORE,Region_09,Target_Sampled,None,-14.32919178,-170.8074923,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,520759.158,8415857.588,Y
10/31/2024,NRF_AS-10100,2016788,NCA20_AS-10099,2021,1,7/26/2021,AS,-14.27521646,-170.5815545,0.73,2020,CORE,Region_09,Target_Sampled,None,-14.27521646,-170.5815545,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,545134.3134,8421795.132,Y
10/31/2024,NRF_AS-10091,2016789,NCA20_AS-10100,2021,1,7/29/2021,AS,-14.28988033,-170.6617273,1.25,2020,CORE,Region_09,Target_Sampled,None,-14.28988033,-170.6617273,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,536484.2673,8420187.4,Y
10/31/2024,NRF_AS-10075,2016790,NCA20_AS-10103,2021,1,7/20/2021,AS,-14.30877306,-170.6950571,0.8,2020,CORE,Region_09,Target_Sampled,None,-14.30877306,-170.6950571,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,532886.7118,8418102.86,Y
10/31/2024,NRF_GU-10001,2012198,NCA20_GU-10001,2020,1,7/28/2020,GU,13.469664,144.701341,1.1,2020,CORE,Region_09,Target_Sampled,None,13.469664,144.701341,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,Guam,NoName,MARINE,251147.428,1490238.262,Y
10/31/2024,NRF_GU-10001,2015033,NCA20_GU-10001,2020,2,9/21/2020,GU,13.469664,144.701341,1.4,2020,CORE,Region_09,Target_Sampled,None,13.469664,144.701341,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,Guam,NoName,MARINE,251147.428,1490238.262,N
10/31/2024,NRF_GU-10002,2012042,NCA20_GU-10002,2020,1,7/22/2020,GU,13.510033,144.799183,0.4,2020,CORE,Region_09,Target_Sampled,None,13.510033,144.799183,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,Guam,NoName,MARINE,261784.6231,1494608.671,Y
10/31/2024,NRF_GU-10002,2012348,NCA20_GU-10002,2020,2,8/10/2020,GU,13.510033,144.799183,0.8,2020,CORE,Region_09,Target_Sampled,None,13.510033,144.799183,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,Guam,NoName,MARINE,261784.6231,1494608.671,N
10/31/2024,NRF_GU-10003,2012043,NCA20_GU-10003,2020,1,7/22/2020,GU,13.519455,144.805325,1.2,2020,CORE,Region_09,Target_Sampled,None,13.519455,144.805325,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,Guam,NoName,MARINE,262459.0604,1495645.38,Y
10/31/2024,NRF_GU-10005,2015031,NCA20_GU-10005,2020,1,9/24/2020,GU,13.653728,144.858013,0.5,2020,CORE,Region_09,Target_Sampled,None,13.653728,144.858013,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,Guam,NoName,MARINE,268294.7201,1510453.609,Y
10/31/2024,NRF_GU-10006,2012456,NCA20_GU-10006,2020,1,8/18/2020,GU,13.245742,144.726803,0.75,2020,CORE,Region_09,Target_Sampled,None,13.245742,144.726803,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,Guam,NoName,MARINE,253677.9828,1465431.702,Y
10/31/2024,NRF_GU-10007,2012349,NCA20_GU-10007,2020,1,8/10/2020,GU,13.479063,144.727149,0.5,2020,CORE,Region_09,Target_Sampled,None,13.479063,144.727149,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,Guam,NoName,MARINE,253952.3423,1491252.445,Y
10/31/2024,NRF_GU-10008,2012220,NCA20_GU-10008,2020,1,8/3/2020,GU,13.454397,144.6253,9.5,2020,CORE,Region_09,Target_Sampled,None,13.454397,144.6253,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,Guam,NoName,MARINE,242894.7601,1488626.864,Y
10/31/2024,NRF_GU-10009,2015036,NCA20_GU-10009,2020,1,9/22/2020,GU,13.454976,144.836949,0.3,2020,CORE,Region_09,Target_Sampled,None,13.454976,144.836949,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,Guam,NoName,MARINE,265820.5013,1488479.6,Y
10/31/2024,NRF_GU-10010,2011961,NCA20_GU-10010,2020,1,7/7/2020,GU,13.484862,144.769429,0.6,2020,CORE,Region_09,Target_Sampled,None,13.484862,144.769429,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,Guam,NoName,MARINE,258537.2901,1491852.227,Y
10/31/2024,NRF_GU-10011,2014753,NCA20_GU-10011,2020,1,8/19/2020,GU,13.283358,144.762425,0.2,2020,CORE,Region_09,Target_Sampled,None,13.283358,144.762425,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,Guam,NoName,MARINE,257577.0607,1469559.609,Y
10/31/2024,NRF_GU-10012,2012013,NCA20_GU-10012,2020,1,7/14/2020,GU,13.479006,144.74074,0.3,2020,CORE,Region_09,Target_Sampled,None,13.479006,144.74074,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,Guam,NoName,MARINE,255424.2657,1491232.56,Y
10/31/2024,NRF_GU-10013,2015039,NCA20_GU-10013,2020,1,9/21/2020,GU,13.454833,144.680848,1.6,2020,CORE,Region_09,Target_Sampled,None,13.454833,144.680848,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,Guam,NoName,MARINE,248912.2994,1488617.738,Y
10/31/2024,NRF_GU-10014,2012005,NCA20_GU-10014,2020,1,7/6/2020,GU,13.48197,144.759565,0.5,2020,CORE,Region_09,Target_Sampled,None,13.48197,144.759565,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,Guam,NoName,MARINE,257466.0901,1491541.904,Y
10/31/2024,NRF_GU-10015,2015073,NCA20_GU-10015,2020,1,10/5/2020,GU,13.410627,144.658385,1.2,2020,CORE,Region_09,Target_Sampled,None,13.410627,144.658385,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,Guam,NoName,MARINE,246432.6121,1483748.369,Y
10/31/2024,NRF_GU-10016,2012222,NCA20_GU-10016,2020,1,8/5/2020,GU,13.24443407,144.6963241,1.1,2020,CORE,Region_09,Target_Sampled,None,13.24443407,144.6963241,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,Guam,NoName,MARINE,250372.3839,1465317.21,Y
10/31/2024,NRF_GU-10016,2014754,NCA20_GU-10016,2020,2,8/19/2020,GU,13.24443407,144.6963241,0.7,2020,CORE,Region_09,Target_Sampled,None,13.24443407,144.6963241,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,Guam,NoName,MARINE,250372.3839,1465317.21,N
10/31/2024,NRF_GU-10017,2012221,NCA20_GU-10017,2020,1,8/5/2020,GU,13.24915168,144.6939788,0.8,2020,CORE,Region_09,Target_Sampled,None,13.24915168,144.6939788,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,Guam,NoName,MARINE,250122.9359,1465841.649,Y
10/31/2024,NRF_GU-10021,2012194,NCA20_GU-10021,2020,1,7/27/2020,GU,13.60204574,144.9191805,0.6,2020,CORE,Region_09,Target_Sampled,None,13.60204574,144.9191805,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,Guam,NoName,MARINE,274865.0815,1504676.999,Y
