Dataset:              Benthic Species List
File Name:            ben_tax.txt
Date Created:         5/26/1999
# Variables:          5
# Header Records:     15
# Data Records:       2110
Missing Value Symbol: .

Variables:    TSN          Integrated Taxonomic Information System (ITIS) serial number
              SPECCODE     EMAP Species Code
              GENUS        Genus
              SPECIES      Species
              LATNAME      Latin Name

TSN,SPECCODE,GENUS,SPECIES,LATNAME,
67961,POLYMEDU, , ,POLYCIRRUS MEDUSA,
67963,POLYEXIM,POLYCIRRUS,EXIMIUS,POLYCIRRUS EXIMIUS,
67966,POLYHAEM,POLYCIRRUS,CF. HAEMATODES,POLYCIRRUS CF. HAEMATODES,
67974,POLYPLUM,POLYCIRRUS,PLUMOSUS,POLYCIRRUS PLUMOSUS,
68014,LOIMXXXX,LOIMIA,SP.,LOIMIA,
68015,LOIMMEDU,LOIMIA,MEDUSA,LOIMIA MEDUSA,
68016,LOIMVIRI,LOIMIA,VIRIDIS,LOIMIA VIRIDIS,
68018,ENOPSANG,ENOPLOBRANCHUS,SANGUINEUS,ENOPLOBRANCHUS SANGUINEUS,
68024,AMEAXXXX,AMEANA,SP.,AMEANA SP.,
68025,AMAETRIL,AMAEANA,TRILOBATA,AMAEANA TRILOBATA,
68033,STREHART,STREBLOSOMA,HARTMANAE,STREBLOSOMA HARTMANAE,
68034,HAUCXXXA,HAUCHIELLA,SP.A,HAUCHIELLA,
68069,TERESTRO,TEREBELLIDES,STROEMI,TEREBELLIDES STROEMI,
68074,TRICGLAC, , ,TRICHOBRANCHUS GLACIALIS,
68076,XXXXSABE,UNID., ,SABELLIDAE,
68076,SABELLID,UNID., ,SABELLIDAE,
68077,CHONXXXA,CHONE,SP.A,CHONE SP.A,
68077,CHONXXXX,CHONE,SP.,CHONE SP.,
68079,CHONINFU,CHONE,INFUNDIBULIFORMIS,CHONE INFUNDIBULIFORMIS,
68084,CHONAMER,CHONE,AMERICANA,CHONE AMERICANA,
68091,EUCHONE,EUCHONE,SPP.,EUCHONE,
68095,EUCHINCO,EUCHONE,INCOLOR,EUCHONE INCOLOR,
68096,EUCHELEG,EUCHONE,ELEGANS,EUCHONE ELEGANS,
68116,MEGABIOC,MEGALOMMA,BIOCULATUM,MEGALOMMA BIOCULATUM,
68125,MYXIINFU, , ,MYXICOLA INFUNDIBULUM,
68136,POTARENI, , ,POTAMILLA RENIFORMIS,
68136,POTAXXXX,POTAMILLA,SP.,POTAMILLA SP.,
68136,POTARENI,POTAMILLA,RENIFORMIS,POTAMILLA RENIFORMIS,
68137,PSEURENI,PSEUDOPOTAMILLA,RENIFORMIS,PSEUDOPOTAMILLA RENIFORMIS,
68138,SABEXXXA,SABELLA,SP.A,SABELLA SP.A,
68144,SABEMELA, , ,SABELLA MELANOSTIGMA,
68158,FABRXXXX,FABRICIA,SP.,FABRICIA SP.,
68167,LAONKROY,LAONOME,KROEYERI,LAONOME KROEYERI,
68171,MANAAEST,MANAYUNKIA,AESTUARINA,MANAYUNKIA AESTUARINA,
68190,FABRTRIL,FABRICIOLA,TRILOBATA,FABRICIOLA TRILOBATA,
68222,DEMOMICR,DEMONAX,MICROPHTHALMUS,DEMONAX MICROPHTHALMUS,
68232,SERPULID,UNID., ,SERPULIDAE,
68232,XXXXSERP,UNID., ,SERPULIDAE,
68243,SERPXXXA,SERPULA,SP.A,SERPULA SP.A,
68243,SERPXXXX,SERPULA,SP.,SERPULA SP.,
68248,SPIRXXXX,SPIRORBIS,SP.,SPIRORBIS,
68248,SPIRORBI, , ,SPIRORBIS SPP.,
68281,HYDRXXXX,HYDROIDES,SP.,HYDROIDES,
68281,HYDROIDE,HYDROIDES,SPP.,HYDROIDES SPP.,
68282,HYDRDIAN,HYDROIDES,DIANTHUS,HYDROIDES DIANTHUS,
68283,HYDRPROT,HYDROIDES,PROTULICOLA,HYDROIDES PROTULICOLA,
68285,HYDRUNCI,HYDROIDES,UNCINATA,HYDROIDES UNCINATA,
68296,FILOGRAN,FILOGRANINAE,SP. A MORRIS,FILOGRANINAE SP. A MORRIS,
68311,POMAAMER,POMATOCEROS,AMERICANUS,POMATOCEROS AMERICANUS,
68333,PSEUOCCI, , ,PSEUDOVERMILIA OCCIDENTALIS,
68349,FICOXXXX,FICOPOMATUS,SP.,FICOPOMATUS,
68374,QUESCAUD, , ,QUESTA CAUDICIRRA,
68383,SPIRORBD,UNID., ,SPIRORBIDAE,
68396,ARCHXXXA, ,SP.A,ARCHIANNELIDA,
68401,PROTODRI,PROTODRILUS,SPP.,PROTODRILUS,
68405,PROTCHAE, , ,PROTODRILOIDES CHAETIFER,
68419,POLYXXXY,POLYGORDIUS,SP.,POLYGORDIUS,
68419,POLYGORD,POLYGORDIUS,SPP.,POLYGORDIUS SPP.,
68422,OLIGOCHA,UNID., ,OLIGOCHAETA,
68422,XXXXOLIG,UNID., ,OLIGOCHAETA,
68440,LUMBRICU,UNIDENTIFIED, ,LUMBRICULIDAE,
68510,XXXXENCH,UNID., ,ENCHYTRAEIDAE,
68510,ENCHXXXA, ,SP.A,ENCHYTRAEIDAE,
68510,ENCHYTRA,UNID., ,ENCHYTRAEIDAE,
68526,HEMIPOST,HEMIGRANIA,POSTCLITELLOCHAETA,HEMIGRANIA POSTCLITELLOCHAETA,
68585,TUBIFIWO,TUBIFICIDAE WTH CAP, ,TUBIFICIDAE WITHOUT CAPILIFORM CHAETAE,
68585,XXXATUBI,UNID., ,TUBIFICIDAE,
68585,XXXXTUBI,UNID., ,TUBIFICIDAE,
68585,XXXXLIMN,UNID.,LIMNODRILOIDINAE,UNID. LIMNODRILOIDINAE,
68585,TUBIFIWI,TUBIFICIDAE W/O CAP, ,TUBIFICIDAE WITH CAPILIFORM CHAETAE,
68595,TUBIHETE,TUBIFICOIDES,HETEROCHAETUS,TUBIFICOIDES HETEROCHAETUS,
68621,BRANSOWE,BRANCHIURA,SOWERBYI,BRANCHIURA SOWERBYI,
68623,TUBITUBI,TUBIFEX,TUBIFEX,TUBIFEX TUBIFEX,
68639,LIMNHOFF,LIMNODRILUS,HOFFMEISTERI,LIMNODRILUS HOFFMEISTERI,
68644,LIMNUDEK,LIMNODRILUS,UDEKEMIANUS,LIMNODRILUS UDEKEMIANUS,
68652,LIMNCERV,LIMNODRILUS,CERVIX,LIMNODRILUS CERVIX,
68662,ILYOTEMP,ILYODRILUS,TEMPLETONI,ILYODRILUS TEMPLETONI,
68672,LIMNXXXX,LIMNODRILOIDES,SP.,LIMNODRILOIDES SP.,
68674,LIMNMONO, , ,LIMNODRILOIDES MONOTHECUS,
68674,LIMNMONO,LIMNODRILOIDES,MONOTHECUS,LIMNODRILOIDES MONOTHECUS,
68675,LIMNBARN,LIMNODRILOIDES,BARNARDI,LIMNODRILOIDES BARNARDI,
68676,LIMNCLAP, , ,LIMNODRILUS CLAPAREDIANUS,
68676,LIMNRUBI,LIMNODRILOIDES,RUBICUNDUS,LIMNODRILOIDES RUBICUNDUS,
68680,AULOPIGU,AULODRILUS,PIGUETI,AULODRILUS PIGUETI,
68682,AULOLIMN,AULODRILUS,LIMNOBIUS,AULODRILUS LIMNOBIUS,
68684,AULOPLUR,AULODRILUS,PLURISETA,AULODRILUS PLURISETA,
68686,AULOPAUC,AULODRILUS,PAUCICHAETA,AULODRILUS PAUCICHAETA,
68687,TUBIXXXX,TUBIFICOIDES,SP.,TUBIFICOIDES SP.,
68687,TUBIXXXA,TUBIFICOIDES,SP.A,TUBIFICOIDES,
68687,TUBIXXXC,TUBIFICOIDES,SP.C,TUBIFICOIDES,
68687,TUBIFICO, , ,TUBIFICOIDES SPP.,
68688,TUBIBROW,TUBIFICOIDES,BROWNAE,TUBIFICOIDES BROWNAE,
68689,TUBIDIAZ,TUBIFICOIDES,DIAZI,TUBIFICOIDES DIAZI,
68692,TUBIWASS,TUBIFICOIDES,WASSELLI,TUBIFICOIDES WASSELLI,
68694,TUBIAPEC,TUBIFICOIDES,APECTINATUS,TUBIFICOIDES APECTINATUS,
68703,PHALXXXX,PHALLODRILUS,SP.,PHALLODRILUS,
68703,PHALXXXA,PHALLODRILUS,SP.A,PHALLODRILUS,
68720,CLITAREN,CLITELLIO,ARENICOLUS,CLITELLIO ARENICOLUS,
68734,HETEXXXX,HETERODRILUS,SP.,HETERODRILUS,
68737,BATHXXXA,BATHYDRILUS,SP.A,BATHYDRILUS,
68746,HABESPEC,HABER,SPECIOSUS,HABER SPECIOSUS,
68747,INANXXXX,INANIDRILUS,SP.,INANIDRILUS SP.,
68760,TELMVEJD, , ,TELMATODRILUS VEJDOVSKYI,
68765,SMITXXXX,SMITHSONIDRILUS,SP.,SMITHSONIDRILUS SP.,
68766,SMITMARI,SMITHSONIDRILUS,MARINUS,SMITHSONIDRILUS MARINUS,
68784,OLAVXXXA,OLAVIUS,SP.A,OLAVIUS,
68794,QUISMULT,QUISTADRILUS,MULTISETOSUS,QUISTADRILUS MULTISETOSUS,
68810,ISOCFREY,ISOCHAETIDES,FREYI,ISOCHAETIDES FREYI,
68854,NAIDIDAE,UNID., ,NAIDIDAE,
68856,SLAVAPPE, , ,SLAVINA APPENDICULATA,
68872,STYLLACU, , ,STYLARIA LACUSTRIS,
68895,PRISSYNC, , ,PRISTINA SYNCLITES,
68898,DERO,DERO,SPP.,DERO,
68904,DERODIGI,DERO,DIGITATA,DERO DIGITATA,
68924,DEROLODE,DERO,LODENI,DERO LODENI,
68934,CHAETOGA,CHAETOGASTER,SPP.,CHAETOGASTER,
68950,NAISCOMM,NAIS,COMMUNIS,NAIS COMMUNIS,
68954,NAISPARD, , ,NAIS PARDALIS,
68956,NAISPSEU,NAIS,PSEUDOBTUSA,NAIS PSEUDOBTUSA,
68976,ARCTLOMO,ARCTEONAIS,LOMONDI,ARCTEONAIS LOMONDI,
68985,SPECJOSI,SPECARIA,JOSINAE,SPECARIA JOSINAE,
68994,PIGUMICH,PIGUETIELLA,MICHIGANENSIS,PIGUETIELLA MICHIGANENSIS,
69017,STEPHENS,STEPHENSONIANA,SPP.,STEPHENSONIANA,
69018,STEPTRIV,STEPHENSONIANA,TRIVANDRANA,STEPHENSONIANA TRIVANDRANA,
69020,STEPTAND,STEPHENSONIANA,TANDYI,STEPHENSONIANA TANDYI,
69023,BRATUNID, , ,BRATISLAVIA UNIDENTADA,
69043,CRUSTRIB,CRUSTIPELLIS,TRIBRANCHIATA,CRUSTIPELLIS TRIBRANCHIATA,
69290,XXXXHIRU,UNID., ,HIRUDINEA,
69290,HIRUDINE,UNIDENTIFIED, ,HIRUDINEA,
69357,XXXXGLOS,UNID., ,GLOSSIPHONIIDAE,
69398,HELOSTAG,HELOBDELLA,STAGNALIS,HELOBDELLA STAGNALIS,
69438,ERPODFAM, , ,ERPODELLIDAE,
69450,MOORMICR,MOOREOBDELLA,MICROSTOMA,MOOREOBDELLA MICROSTOMA,
69450,MOORMICR, , ,MOOREOBDELLA MICROSTOMA,
69459,GASTXXXD,GASTROPODA,GENUSD,GASTROPODA GENUSD,
69459,GASTXXAA,GENUSA, ,GASTROPODA,
69459,GASTXXXB,UNID.,SP.B,GASTROPODA,
69459,GASTXXXA,UNID.,SP.A,GASTROPODA,
69459,XXXXGAST,UNID., ,GASTROPODA,
69459,GASTXXBB,GASTROPODA,GENUSB,GASTROPODA GENUSB,
69459,GASTXXXC,GASTROPODA,GENUSC,GASTROPODA GENUSC,
69459,GASTROPO,UNIDENTIFIED, ,GASTROPODA: OTHER,
69459,GASTSPEA,GASTROPODA,SP. A MOUNTFORD,GASTROPODA SP. A MOUNTFORD,
69555,DIODDYSO, , ,DIODORA DYSONI,
69738,PATEPUST, , ,PATELLOIDA PUSTULATA,
69794,TROCXXXA,TROCHIDAE,SP.A,TROCHIDAE SP.A,
69952,TEGUFASC, , ,TEGULA FASCIATA,
70163,NERIRECL,NERITINA,RECLIVATA,NERITINA RECLIVATA,
70304,VIVIPARI, , ,VIVIPARIDAE,
70349,VALVSINC,VALVATA,SINCERA,VALVATA SINCERA,
70354,VALVTRIC,VALVATA,TRICARINATA,VALVATA TRICARINATA,
70381,LACUVINC,LACUNA,VINCTA,LACUNA VINCTA,
70394,XXXXLITT, , ,LITTORINIDAE,
70493,HYDROBII,UNID., ,HYDROBIIDAE,
70493,XXXBHYDR,UNID.,HYDROBIIDAE,UNID. HYDROBIIDAE,
70494,HYDROBIA,HYDROBIA,SPP.,HYDROBIA,
70495,HYDRTRUN,HYDROBIA,TRUNCATA,HYDROBIA TRUNCATA,
70506,PROBLOUI,PROBYTHINELLA,LOUISIANAE,PROBYTHINELLA LOUISIANAE,
70509,CINCWINK,CINCINNATIA,WINKLEYI,CINCINNATIA WINKLEYI,
70509,CINCXXXX,CINCINNATIA?,SP.,CINCINNATIA? SP.,
70528,LITTTENU,LITTORIDINOPS,TENUIPES,LITTORIDINOPS TENUIPES,
70532,LITTPALU, , ,LITTORIDINOPS PALUSTRIS,
70532,LITTPALU,LITTORIDINOPS,PALUSTRIS,LITTORIDINOPS PALUSTRIS,
70545,LYOGYRUS,LYOGYRUS,SPP.,LYOGYRUS,
70590,TEXAXXXX,TEXADINA,SP.,TEXADINA,
70591,TEXABARR,TEXADINA,BARRETTI,TEXADINA BARRETTI,
70592,TEXASPHI,TEXADINA,SPHINCTOSTOMA,TEXADINA SPHINCTOSTOMA,
70748,AMNILIMO,AMNICOLA,LIMOSA,AMNICOLA LIMOSA,
70794,BITHTENT, , ,BITHYNIA TENTACULATA,
70797,XXXXRISS,UNID., ,RISSOIDAE,
70798,ALVANIA, , ,ALVANIA SPP.,
70904,RISSCATE,RISSOINA,CATESBYANA,RISSOINA CATESBYANA,
70946,SAYECHES,SAYELLA,CHESAPEAKEA,SAYELLA CHESAPEAKEA,
70952,SAYELIVI,SAYELLA,LIVIDA,SAYELLA LIVIDA,
70952,SAYELIVI, , ,SAYELLA LIVIDA,
70977,ZEBIBROW, , ,ZEBINA BROWNIANA,
71064,VITRINEL,UNID., ,VITRINELLIDAE,
71064,XXXXVITR,UNID., ,ADEORBIDAEDAE,
71071,VITRTEXA,VITRINELLA,TEXANA,VITRINELLA TEXANA,
71072,VITRFLOR,VITRINELLA,FLORIDANA,VITRINELLA FLORIDANA,
71120,SOLAINFR,SOLARIORBIS,INFRACARINATA,SOLARIORBIS INFRACARINATA,
71125,TEINXXXB,TEINOSTOMA,SP.B,TEINOSTOMA,
71125,TEINXXXA,TEINOSTOMA,SP.A,TEINOSTOMA,
71126,TEINCRYP,TEINOSTOMA,CRYPTOSPIRA,TEINOSTOMA CRYPTOSPIRA,
71126,TEINCRYP, , ,TEINOSTOMA CRYPTOSPIRA,
71127,TEINBISC,TEINOSTOMA,BISCAYNENSE,TEINOSTOMA BISCAYNENSE,
71128,TEINPARV,TEINOSTOMA,PARVICALLUM,TEINOSTOMA PARVICALLUM,
71167,COCHPARA,COCHLIOLEPIS,PARASITICA,COCHLIOLEPIS PARASITICA,
71175,PARVINTE, , ,PARVITURBOIDES INTERRUPTUS,
71175,PARVINTE,PARVITURBOIDES,INTERRUPTUS,PARVITURBOIDES INTERRUPTUS,
71190,MACRPALM, , ,MACROMPHALINA PALMALITORIS,
71302,VERMSPIR, , ,VERMICULARIA SPIRATA,
71372,CAECIDAE,UNID., ,CAECIDAE,
71379,CAECXXXX,CAECUM,SP.,CAECUM,
71379,CAECUM, , ,CAECUM SPP.,
71379,CAECSPEB,CAECUM,SP. B MOUNTFORD,CAECUM,
71379,CAECSPEA, , ,CAECUM SP. A MOUNTFORD,
71380,CAECPULC,CAECUM,PULCHELLUM,CAECUM PULCHELLUM,
71387,CAECIMBR,CAECUM,IMBRICATUM,CAECUM IMBRICATUM,
71393,CAECGLAB,CAECUM,JOHNSONI,CAECUM JOHNSONI,
71393,CAECJOHN, , ,CAECUM JOHNSONI,
71396,CAECCOOP,CAECUM,COOPERI,CAECUM COOPERI,
71404,CAECNITI,CAECUM,NITIDUM,CAECUM NITIDUM,
71432,CAECFLOR, , ,CAECUM FLORIDANUM,
71444,CAECBIPA, , ,CAECUM BIPARTITUM,
71444,CAECBIPA,CAECUM,BIPARTITUM,CAECUM BIPARTITUM,
71445,CAECCORN, , ,CAECUM CORNUCOPIAE,
71549,PLEUROCE,PLEUROCERA,SPP.,PLEUROCERA,
71909,MODUMODU, , ,MODULUS MODULUS,
71974,DIASVARI,DIASTOMA,VARIUM,DIASTOMA VARIUM,
71989,BITTALTE,BITTIUM,ALTERNATUM,BITTIUM ALTERNATUM,
72031,CERIEMER,CERITHIOPSIS,EMERSONI,CERITHIOPSIS EMERSONI,
72111,SEILADAM,SEILA,ADAMSI,SEILA ADAMSI,
72120,CERIATRA, , ,CERITHIUM ATRATUM,
72120,CERIMUSC,CERITHIUM,MUSCARUM,CERITHIUM MUSCARUM,
72169,FINEDUBI, , ,FINELLA DUBIA,
72232,XXXXEPIT,UNID.,EPITONIIDAE,UNID. EPITONIIDAE,
72233,EPITXXXX,EPITONIUM,SP.,EPITONIUM,
72233,EPITONIU,EPITONIUM,SPP.,EPITONIUM SPP.,
72237,EPITGREE, , ,EPITONIUM GREENLANDICUM,
72249,EPITRUPI,EPITONIUM,RUPICOLA,EPITONIUM RUPICOLA,
72252,EPITANGU,EPITONIUM,ANGULATUM,EPITONIUM ANGULATUM,
72285,EPITTOLL,EPITONIUM,TOLLINI,EPITONIUM TOLLINI,
72288,EPITALBI,EPITONIUM,ALBIDUM,EPITONIUM ALBIDUM,
72434,SCHWHEND,SCHWENGELIA,HENDERSONI,SCHWENGELIA HENDERSONI,
72434,SCHWHEND, , ,SCHWENGELIA HENDERSONI,
72440,MELANELL,MELANELLA,SP.,MELANELLA,
72452,MELAINTE, , ,MELANELLA INTERMEDIA,
72452,MELAINTE,MELANELLA,INTERMEDIA,MELANELLA INTERMEDIA,
72455,MELACONO, , ,MELANELLA CONOIDEA,
72460,MELAJAMA,MELANELLA,JAMAICENSIS,MELANELLA JAMAICENSIS,
72489,STROBILI,STROMBIFORMIS,BILINEATUS,STROMBIFORMIS BILINEATUS,
72491,STROAURI,STROMBIFORMIS,AURICINCTUS,STROMBIFORMIS AURICINCTUS,
72492,STROHEMP,STROMBIFORMIS,HEMPHILLI,STROMBIFORMIS HEMPHILLI,
72531,OCEAGRAD, , ,OCEANIDA GRADUATA,
72611,CALYPSPA, , ,CALYPTRAEIDAE SP. A MOUNTFORD,
72612,XXXXCREP,UNID., ,CREPIDULIDAE,
72615,CALYCENT,CALYPTRAEA,CENTRALIS,CALYPTRAEA CENTRALIS,
72619,CREPXXXX,CREPIDULA,SP.,CREPIDULA,
72619,CREPIDUL,CREPIDULA,SPP.,CREPIDULA SPP.,
72619,CREPXXXB,CREPIDULA,SP.B,CREPIDULA,
72619,CREPXXXA,CREPIDULA,SP.A,CREPIDULA,
72623,CREPFORN,CREPIDULA,FORNICATA,CREPIDULA FORNICATA,
72624,CREPCONV,CREPIDULA,CONVEXA,CREPIDULA CONVEXA,
72627,CREPPLAN,CREPIDULA,PLANA,CREPIDULA PLANA,
72632,CREPMACU,CREPIDULA,MACULOSA,CREPIDULA MACULOSA,
72878,XXXXNATI,UNID.,NATICIDAE,UNID. NATICIDAE,
72878,NATICIDA,UNID., ,NATICIDAE,
72883,NATICA,NATICA,SPP.,NATICA,
72888,NATIPUSI,NATICA,PUSILLA,NATICA PUSILLA,
72911,POLIXXXA,POLINICES,SP.A,POLINICES SP.A,
72918,NEVEDUPL,POLINICES,DUPLICATA,POLINICES DUPLICATA,
72918,POLIDUPL,POLINICES,DUPLICATUS,POLINICES DUPLICATUS,
72923,POLIHERO,POLINICES,HEROS,POLINICES HEROS,
72951,SINUPERS,SINUM,PERSPECTIVUM,SINUM PERSPECTIVUM,
72951,SINUPERS, , ,SINUM PERSPECTIVUM,
73203,AMPHVALL, , ,AMPHITHALAMUS VALLEI,
73216,BARLTINC, , ,BARLEEIA TINCTA,
73236,MURICIDA, , ,MURICIDAE,
73236,MURIXXXA,MURICIDAE,SP.A,MURICIDAE SP.A,
73264,UROSCINE, , ,UROSALPINX CINEREA,
73265,UROSTAMP,UROSALPINX,TAMPAENSIS,UROSALPINX TAMPAENSIS,
73265,UROSTAMP, , ,UROSALPINX TAMPAENSIS,
73300,EUPLCAUD,EUPLEURA,CAUDATA,EUPLEURA CAUDATA,
73301,EUPLSULC, , ,EUPLEURA SULCIDENTATA,
73301,EUPLSULC,EUPLEURA,SULCIDENTATA,EUPLEURA SULCIDENTATA,
73312,THAIHAEM,THAIS,HAEMASTOMA,THAIS HAEMASTOMA,
73396,CALOOSTR,CALOTROPHON,OSTREARUM,CALOTROPHON OSTREARUM,
73532,COLUMBLD,UNID., ,COLUMBELLIDAE,
73543,ASTYLUNA,ASTYRIS,LUNATA,ASTYRIS LUNATA,
73552,MITRLUNA,MITRELLA,LUNATA,MITRELLA LUNATA,
73616,ANACHIS,ANACHIS,SPP.,ANACHIS,
73616,ANACXXXA,ANACHIS,SP.A,ANACHIS SP.A,
73617,ANACAVAR,ANACHIS,AVARA,ANACHIS AVARA,
73622,ANACOBES,ANACHIS,OBESA,ANACHIS OBESA,
73631,ANACLAFR,ANACHIS,LAFRESNAYI,ANACHIS LAFRESNAYI,
73652,ANACPULC,ANACHIS,PULCHELLA,ANACHIS PULCHELLA,
73661,ANACSEMI,ANACHIS,SEMIPLICATA,ANACHIS SEMIPLICATA,
73708,COLUMBEL,COLUMBELLA,SPP.,COLUMBELLA,
73726,BUCCINID,UNID., ,BUCCINIDAE,
73826,CANTCANC,CANTHARUS,CANCELLARIUS,CANTHARUS CANCELLARIUS,
73848,ENGITURB,ENGINA,TURBINELLA,ENGINA TURBINELLA,
73920,COLUPYGM, , ,COLUS PYGMAEUS,
74070,BUSYCON,BUSYCON,SPP.,BUSYCON,
74076,BUSYCONT, , ,BUSYCON CONTRARIUM,
74076,BUSYCONT,BUSYCON,CONTRARIUM,BUSYCON CONTRARIUM,
74084,BUSYSPIR,BUSYCON,SPIRATUM PLAGOSUM,BUSYCON SPIRATUM PLAGOSUM,
74103,NASSARIU,NASSARIUS,SPP.,NASSARIUS,
74107,NASSVIBE,NASSARIUS,VIBEX,NASSARIUS VIBEX,
74109,NASSTRIV,NASSARIUS,TRIVITTATUS,NASSARIUS TRIVITTATUS,
74114,NASSACUT,NASSARIUS,ACUTUS,NASSARIUS ACUTUS,
74116,NASSALBU, , ,NASSARIUS ALBUS,
74169,ILYAOBSO,ILYANASSA,OBSOLETA,ILYANASSA OBSOLETA,
74224,OLIVXXXX,OLIVELLA,SP.,OLIVELLA,
74224,OLIVXXXB,OLIVELLA,SP.B,OLIVELLA,
74224,OLIVXXXD,OLIVELLA,SP.D,OLIVELLA,
74224,OLIVXXXA,OLIVELLA,SP.A,OLIVELLA,
74232,OLIVDEAL,OLIVELLA,DEALBATA,OLIVELLA DEALBATA,
74233,OLIVMINU,OLIVELLA,MINUTA,OLIVELLA MINUTA,
74239,OLIVFLOR,OLIVELLA,FLORALIA,OLIVELLA FLORALIA,
74253,OLIVMUTI,OLIVELLA,MUTICA,OLIVELLA MUTICA,
74263,OLIVPUSI,OLIVELLA,PUSILLA,OLIVELLA PUSILLA,
74381,GRANOVUL,GRANULINA,OVULIFORMIS,GRANULINA OVULIFORMIS,
74387,MARGAURE,MARGINELLA,AUREOCINCTA,MARGINELLA AUREOCINCTA,
74390,MARGLAVA,MARGINELLA,LAVALLEEANA,MARGINELLA LAVALLEEANA,
74399,MARGAPIC,MARGINELLA,APICINA,MARGINELLA APICINA,
74439,HYALAVEN,HYALINA,AVENACEA,HYALINA AVENACEA,
74439,HYALAVEN, , ,HYALINA AVENACEA,
74454,HYALVELI,HYALINA,VELIEI,HYALINA VELIEI,
74464,MARGSERR, , ,MARGINELLOPSIS SERREI,
74555,XXXXTURR,UNID.,TURRIDAE,UNID. TURRIDAE,
74555,TURRIFAM, , ,TURRIDAE,
74555,TURRSPEA,UNID.,SP. A MOUNTFORD,TURRIDAE,
74555,TURRXXXA,TURRIDAE,SP.A,TURRIDAE SP.A,
74555,TURRXXXB,TURRIDAE,SP.B,TURRIDAE SP.B,
74803,KURTXXXX,KURTZIELLA,SP.,KURTZIELLA SP.,
74803,KURTXXXA,KURTZIELLA,SP.A,KURTZIELLA SP.A,
74803,LAEVFUSC, , ,LAEVAPEX FUSCUS,
74804,KURTATRO,KURTZIELLA,ATROSTYLA,KURTZIELLA ATROSTYLA,
74806,KURTCERI,KURTZIELLA,CERINA,KURTZIELLA CERINA,
74918,PYRGHEMP,PYRGOCYTHARA,HEMPHILLI,PYRGOCYTHARA HEMPHILLI,
74919,PYRGPLIC,PYRGOCYTHARA,PLICOSA,PYRGOCYTHARA PLICOSA,
74991,CEROPERR, , ,CERODRILLIA PERRYAE,
74993,CEROTHEA, , ,CERODRILLIA THEA,
75259,PILSLEUC, , ,PILSBRYSPIRA LEUCOCYMA,
75291,CONUJASP,CONUS,JASPIDEUS,CONUS JASPIDEUS,
75407,XXXBTERE,UNID., ,TEREBRIDAE,
75408,TEREXXXX,TEREBRA,SP.,TEREBRA SP.,
75410,TEREPROT,TEREBRA,PROTEXTA,TEREBRA PROTEXTA,
75436,HASTSALL,HASTULA,SALLEANA,HASTULA SALLEANA,
75446,PYRAMIDE,UNID., ,PYRAMIDELLIDAE,
75446,XXXXPYRA,UNID., ,PYRAMIDELLIDAE,
75447,ODOSTOMI,ODOSTOMIA,SPP.,ODOSTOMIA SPP.,
75447,ODOSXXXD,ODOSTOMIA,SP.D,ODOSTOMIA SP.D,
75447,ODOSXXXX,ODOSTOMIA,SP.,ODOSTOMIA,
75447,ODOSXXXC,ODOSTOMIA,SP.C,ODOSTOMIA SP.C,
75447,ODOSXXXB,ODOSTOMIA,SP.B,ODOSTOMIA,
75447,ODOSSPEA,ODOSTOMIA,SP. A MOUNTFORD,ODOSTOMIA SP. A MOUNTFORD,
75500,ODOSSULC, , ,CF. ODOSTOMIA SULCOSA,
75504,ODOSENGO,ODOSTOMIA,ENGONIA,ODOSTOMIA ENGONIA,
75509,ODOSEMER,ODOSTOMIA,EMERYI,ODOSTOMIA EMERYI,
75553,ODOSCONO, , ,ODOSTOMIA CONOIDEA,
75676,TURBSPEB,TURBONILLA,SP. B MOUNTFORD,TURBONILLA SP. B MOUNTFORD,
75676,TURBONIL,TURBONILLA,SPP.,TURBONILLA SPP.,
75676,TURBXXXF,TURBONILLA,SP.F,TURBONILLA,
75676,TURBXXXJ,TURBONILLA,SP.J,TURBONILLA SP.J,
75676,TURBXXXB,TURBONILLA,SP.B,TURBONILLA,
75676,TURBXXXX,TURBONILLA,SP.,TURBONILLA,
75676,TURBXXXK,TURBONILLA,SP.K,TURBONILLA SP.K,
75676,TURBXXXG,TURBONILLA,SP.G,TURBONILLA,
75676,TURBXXXI,TURBONILLA,SP.I,TURBONILLA,
75676,TURBXXXA,TURBONILLA,SP.A,TURBONILLA,
75676,TURBXXXE,TURBONILLA,SP.E,TURBONILLA,
75687,TURBINTE,TURBONILLA,INTERRUPTA,TURBONILLA INTERRUPTA,
75697,TURBCONR,TURBONILLA,CONRADI,TURBONILLA CONRADI,
75710,TURB?AEQ, , ,TURBONILLA ?AEQUALIS,
75878,TURBPROT,TURBONILLA,PROTRACTA,TURBONILLA PROTRACTA,
75950,PYRACREN,PYRAMIDELLA,CRENULATA,PYRAMIDELLA CRENULATA,
75985,PERITORE,PERISTICHIA,TORETA,PERISTICHIA TORETA,
75987,BOONBISU,BOONEA,BISUTURALIS,BOONEA BISUTURALIS,
75989,BOONIMPR,BOONEA,IMPRESSA,BOONEA IMPRESSA,
75990,ODOSIMPR,ODOSTOMIA,IMPRESSA,ODOSTOMIA IMPRESSA,
75991,BOONSEMI,BOONEA,SEMINUDA,BOONEA SEMINUDA,
75993,ODOSSEMI,ODOSTOMIA,SEMINUDA,ODOSTOMIA SEMINUDA,
