Dataset:              Benthic Species List
File Name:            ben_tax.txt
Date Created:         5/26/1999
# Variables:          5
# Header Records:     15
# Data Records:       2110
Missing Value Symbol: .

Variables:    TSN          Integrated Taxonomic Information System (ITIS) serial number
              SPECCODE     EMAP Species Code
              GENUS        Genus
              SPECIES      Species
              LATNAME      Latin Name

TSN,SPECCODE,GENUS,SPECIES,LATNAME,
49271,ZANCCOST,ZANCLEA,COSTATA,ZANCLEA COSTATA,
49271,ZANCCOST, , ,ZANCLEA COSTATA,
49363,HYDRECHI,HYDRACTINIA,ECHINATA,HYDRACTINIA ECHINATA,
49440,XXXXHALO,UNID.,HALOCORDYLIDAE,UNID. HALOCORDYLIDAE,
49517,OBELBICU,OBELIA,BICUSPIDATA,OBELIA BICUSPIDATA,
49519,OBELDICH,OBELIA,DICHOTOMA,OBELIA DICHOTOMA,
49581,CLYTCYLI, , ,CLYTIA CYLINDRICA,
49581,CLYTCYLI,CLYTIA,CYLINDRICA,CLYTIA CYLINDRICA,
49901,SERTXXXX,SERTULARIA,SP.,SERTULARIA SP.,
50172,HALEBERM,HALECIUM,BERMUDENSE,HALECIUM BERMUDENSE,
50172,HALEBERM, , ,HALECIUM BERMUDENSE,
50235,PLUMMARG,PLUMULARIA,MARGARETTA,PLUMULARIA MARGARETTA,
50235,PLUMMARG, , ,PLUMULARIA MARGARETTA,
50551,LOVEXXXA,LOVENELLA,SP.A,LOVENELLA SP.A,
50552,LOVEGRAC,LOVENELLA,GRACILIS,LOVENELLA GRACILIS,
51938,XXXBANTH,UNID., ,ANTHOZOA,
51938,ANTHXXXA,ANTHOZOA,TYPE_A,ANTHOZOA TYPE_A,
51938,ANTHOZOA,UNID., ,ANTHOZOA,
51984,XXXXCERI,UNID., ,CERIANTHARIA,
51990,CERIXXXX,CERIANTHEOPSIS,SP.,CERIANTHEOPSIS SP.,
51991,CERIAMER,CERIANTHEOPSIS,AMERICANUS,CERIANTHEOPSIS AMERICANUS,
52079,XXXXGORG, , ,GORGONACEA,
52238,LEPTXXXZ,LEPTOGORGIA,SP.,LEPTOGORGIA SP.,
52485,ACTIXXXB,UNID.,SP.B,ACTINIARIA SP.B,
52485,XXXXACTI,UNID.,UNID.,ACTINIARIA SP.,
52485,ACTIXXXA,UNID.,SP.A,ACTINIARIA SP.A,
52485,ACTIXXXC,UNID.,SP.C,ACTINIARIA SP.C,
52488,EDWAXXXX,EDWARDSIA?,SP.,EDWARDSIA? SP.,
52633,PARARAPI, , ,PARANTHUS RAPIFORMIS,
53371,ASTRDANA,ASTRANGIA,DANAE,ASTRANGIA DANAE,
53964,XXXXTURB,UNID., ,TURBELLARIA,
53964,TURBELLA,UNID., ,TURBELLARIA,
54073,XXXBPOLY,UNID., ,POLYCLADIDA,
57411,NEMEXXXD,NEMERTEA,SP.D,NEMERTEA SP.D,
57411,NEMEXXXB,UNID.,SP.B,NEMERTEA SP.B,
57411,NEMEXXXH,NEMERTEA,SP.H,NEMERTEA SP.H,
57411,NEMEXXXA,UNID.,SP.A,NEMERTEA SP.A,
57411,XXXXNEME,UNID., ,NEMERTEA,
57411,NEMEXXXE,NEMERTEA,SP.E,NEMERTEA SP.E,
57411,NEMEXXXC,UNID.,SP.C,NEMERTEA SP.C,
57411,NEMEXXXF,NEMERTEA,SP.F,NEMERTEA SP.F,
57427,XXX1CARI, , ,CARINOMIDAE,
57427,CARIXSP2, , ,CARINOMIDAE,
57427,CARIXSP1, , ,CARINOMIDAE,
57493,EMPLXSP1, , ,EMPLECTONEMATIDAE,
57522,AMPHXSP7, , ,AMPHIPORIDAE,
57522,XXX4AMPH, , ,AMPHIPORIDAE,
57595,MALAGROS, , ,MALACOBDELLA GROSSA,
59490,NEMATODA,UNID., ,NEMATODA,
59490,XXXXNEMA,UNID., ,NEMATODA,
64358,XXXCPOLY,UNID.,POLYCHAETA,UNID. POLYCHAETA,
64358,POLYCCAR,UNIDENTIFIED-CAROMN, ,POLYCHAETA,
64358,POLYSPEB, , ,POLYCHAETA SP. B ARCURI,
64358,POLYCSUB,UNIDENTIFIED-SUBDEP, ,POLYCHAETA,
64358,POLYCOTH, , ,POLYCHAETA:OTHER-UNIDENTIFIED/FRAGM,
64358,POLYSPEA, , ,POLYCHAETA SP. A ARCURI,
64358,POLYCHAE,UNID., ,POLYCHAETA,
64358,POLYCSUR,UNIDENTIFIED-SURDEP, ,POLYCHAETA,
64359,XXXXAPHR,UNID., ,APHRODITIDAE,
64365,APHRHAST, , ,APHRODITA HASTATA,
64397,POLYNOID,UNID., ,POLYNOIDAE,
64397,XXXXPOLY,UNID., ,POLYNOIDAE,
64502,HARMOTHO,HARMOTHOE,SPP.,HARMOTHOE,
64502,HARMXXXX,HARMOTHOE,SP.,HARMOTHOE SP.,
64502,HARMXXXB,HARMOTHOE,SP.B,HARMOTHOE SP.B,
64509,HARMEXTE,HARMOTHOE,EXTENUATA,HARMOTHOE EXTENUATA,
64513,HARMIMBR,HARMOTHOE,IMBRICATA,HARMOTHOE IMBRICATA,
64550,HARMMACG,HARMOTHOE,MACGINITIEI,HARMOTHOE MACGINITIEI,
64599,LEPIDONO, , ,LEPIDONOTUS SPP.,
64604,LEPISQUA,LEPIDONOTUS,SQUAMATUS,LEPIDONOTUS SQUAMATUS,
64610,LEPISUBL,LEPIDONOTUS,SUBLEVIS,LEPIDONOTUS SUBLEVIS,
64611,LEPIVARI,LEPIDONOTUS,VARIABILIS,LEPIDONOTUS VARIABILIS,
64698,LEPIVARU,LEPIDASTHENIA,VARIUS,LEPIDASTHENIA VARIUS,
64698,LEPIVARU, , ,LEPIDASTHENIA VARIUS,
64703,LEPICOMM,LEPIDAMETRIA,COMMENSALIS,LEPIDAMETRIA COMMENSALIS,
64715,HARTMOOR, , ,HARTMANIA MOOREI,
64739,MALMXXXA,MALMGRENIELLA,SP.A,MALMGRENIELLA,
64739,MALMXXXB,MALMGRENIELLA,SP.B,MALMGRENIELLA,
64739,MALMSPA,MALMGRENIELLA,SP. A WESTON,MALMGRENIELLA SP. A WESTON,
64739,MALMXXXX,MALMGRENIELLA,SP.,MALMGRENIELLA SP.,
64739,MALMSPEB,MALMGRENIELLA,SP. B WESTON,MALMGRENIELLA SP. B WESTON,
65026,POLYLUPI,POLYODONTES,LUPINUS,POLYODONTES LUPINUS,
65057,GRUBXXXX,GRUBEULEPIS,SP.,GRUBEULEPIS,
65059,GRUBMEXI,GRUBEULEPIS,MEXICANA,GRUBEULEPIS MEXICANA,
65072,SIGALION,UNID., ,SIGALIONIDAE,
65074,PHOLMINU,PHOLOE,MINUTA,PHOLOE MINUTA,
65082,STENELAI, , ,STHENELAIS SPP.,
65082,STHEXXXA,STHENELAIS,SP.A,STHENELAIS,
65084,STHEBOA_,STHENELAIS,BOA,STHENELAIS BOA,
65084,STENBOA,STHENELAIS,BOA,STHENELAIS BOA,
65086,STHELIMI, , ,STHENELAIS LIMICOLA,
65094,SIGAAREN,SIGALION,ARENICOLA,SIGALION ARENICOLA,
65121,PSAMCTEN, , ,PSAMMOLYCE CTENIDOPHORA,
65137,FIMBHOBB, , ,FIMBRIOSTHENELAIS HOBBSI,
65138,FIMBMINO, , ,FIMBRIOSTHENELAIS MINOR,
65143,PISIREMO,PISIONE,REMOTA,PISIONE REMOTA,
65148,XXXXCHRY,UNID., ,CHRYSOPETALIDAE,
65159,BHAWHETE,BHAWANIA,HETEROSETA,BHAWANIA HETEROSETA,
65164,XXXAAMPH,UNID., ,AMPHINOMIDAE,
65176,PSEUPAUC,PSEUDEURYTHOE,PAUCIBRANCHIATA,PSEUDEURYTHOE PAUCIBRANCHIATA,
65177,LINOAMBI, , ,LINOPHERUS AMBIGUA,
65177,LINOAMBI,LINOPHERUS,AMBIGUA,LINOPHERUS AMBIGUA,
65184,PARAXXXB,PARAMPHINOME,SP.B,PARAMPHINOME,
65184,PARAXXAA,PARAMPHINOME,SP.A,PARAMPHINOME SP.A,
65214,EUPHTRIL, , ,EUPHROSINE TRILOBA,
65228,XXXXPHYL,UNID., ,PHYLLODOCIDAE,
65228,PHYLDCDE,UNID., ,PHYLLODOCIDAE,
65232,ANAIGROE,ANAITIDES,GROENLANDICA,ANAITIDES GROENLANDICA,
65238,ANAIMUCO,ANAITIDES,MUCOSA,ANAITIDES MUCOSA,
65239,PHYLMUCO,PHYLLODOCE,MUCOSA,PHYLLODOCE MUCOSA,
65250,ANAILONG,ANAITIDES,LONGIPES,ANAITIDES LONGIPES,
65258,ETEONE,HYPERETEONE,SPP.,HYPERETEONE SPP.,
65266,HYPEHETE,HYPERETEONE,HETEROPODA,HYPERETEONE HETEROPODA,
65266,ETEOHETE,HYPERETEONE,HETEROPODA,HYPERETEONE HETEROPODA,
65267,HYPELACT,HYPERETEONE,LACTEA,HYPERETEONE LACTEA,
65270,ETEOFOLI,HYPERETEONE,FOLIOSA,HYPERETEONE FOLIOSA,
65307,MYSTBORE,MYSTIDES,BOREALIS,MYSTIDES BOREALIS,
65318,GENECAST,GENETYLLIS,CASTANEA,GENETYLLIS CASTANEA,
65321,PARASPEC,PARANAITIS,SPECIOSA,PARANAITIS SPECIOSA,
65324,PARAPOLY, , ,PARANAITIS POLYNOIDES,
65334,HESIELON,HESIONURA,ELONGATA,HESIONURA ELONGATA,
65335,NEREXXXA,NEREIPHYLLA,SP.A,NEREIPHYLLA SP.A,
65343,EUMISANG,EUMIDA,SANGUINEA,EUMIDA SANGUINEA,
65366,PHYLAREN,PHYLLODOCE,ARENAE,PHYLLODOCE ARENAE,
65438,PARAPARA,PARALACYDONIA,PARADOXA,PARALACYDONIA PARADOXA,
65438,PARAPARA, , ,PARALACYDONIA PARADOXA,
65467,HESIONID,UNID., ,HESIONIDAE,
65467,XXXXHESI,UNID., ,HESIONIDAE,
65468,GYPTIS,GYPTIS,SPP.,GYPTIS,
65470,GYPTVITT,GYPTIS,VITTATA,GYPTIS VITTATA,
65476,MICRXXXX,MICROPTHALMUS,SP.,MICROPTHALMUS SP.,
65476,MICROPHT,MICROPHTHALMUS,SPP.,MICROPHTHALMUS,
65477,MICRSCZE,MICROPHTHALMUS,SCZELKOWII,MICROPHTHALMUS SCZELKOWII,
65478,MICRABER,MICROPHTHALMUS,ABERRANS,MICROPHTHALMUS ABERRANS,
65480,MICRSIMI,MICROPHTHALMUS,SIMILIS,MICROPHTHALMUS SIMILIS,
65493,PARALUTE,PARAHESIONE,LUTEOLA,PARAHESIONE LUTEOLA,
65503,HETEHETE,HETEROPODARKE,HETEROMORPHA,HETEROPODARKE HETEROMORPHA,
65517,PODAOBSC,PODARKE,OBSCURA,PODARKE OBSCURA,
65533,GYPTBREV,GYPTIS,BREVIPALPA,GYPTIS BREVIPALPA,
65540,XXXXPILA,UNID., ,PILARGIDAE,
65540,PILARGID,UNID., ,PILARGIDAE,
65541,ANCIXXXB,ANCISTROSYLLIS,SP.B,ANCISTROSYLLIS,
65541,ANCIXXXC,ANCISTROSYLLIS,SP.C,ANCISTROSYLLIS,
65541,ANCIXXXX,ANCISTROSYLLIS,SP.,ANCISTROSYLLIS,
65543,ANCIHART,ANCISTROSYLLIS,HARTMANAE,ANCISTROSYLLIS HARTMANAE,
65544,ANCIJONE,ANCISTROSYLLIS,JONESI,ANCISTROSYLLIS JONESI,
65546,ANCIPAPI,ANCISTROSYLLIS,PAPILLOSA,ANCISTROSYLLIS PAPILLOSA,
65547,ANCICARO,ANCISTROSYLLIS,CAROLINENSIS,ANCISTROSYLLIS CAROLINENSIS,
65551,SIGAMBRA,SIGAMBRA,SPP.,SIGAMBRA SPP.,
65551,SIGAXXXX,SIGAMBRA,SP.,SIGAMBRA,
65552,SIGATENT,SIGAMBRA,TENTACULATA,SIGAMBRA TENTACULATA,
65553,SIGAWASS,SIGAMBRA,WASSI,SIGAMBRA WASSI,
65554,SIGABASS,SIGAMBRA,BASSI,SIGAMBRA BASSI,
65565,CABIINCE,CABIRA,INCERTA,CABIRA INCERTA,
65567,SYNEXXXB,SYNELMIS,SP.B,SYNELMIS,
65576,PARDXXXA,PARANDALIA,SP.A,PARANDALIA,
65580,PARAAMER, , ,PARANDALIA AMERICANA,
65583,LITOXXXA,LITOCORSA,SP.A,LITOCORSA,
65587,XXXXSYLL,UNID., ,SYLLIDAE,
65587,SYLLIDAE,UNID., ,SYLLIDAE,
65588,AUTOLYTU,AUTOLYTUS,SPP.,AUTOLYTUS,
65588,AUTOSPEA,AUTOLYTUS,SP. A GLASBY,AUTOLYTUS,
65591,PROCCORN,PROCERAEA,CORNUTA,PROCERAEA CORNUTA,
65616,PIONSPEA,PIONOSYLLIS,SP. A GLASBY,PIONOSYLLIS,
65616,PIONOSYL,PIONOSYLLIS,SPP.,PIONOSYLLIS,
65616,PIONSPEB,PIONOSYLLIS,SP. B GLASBY,PIONOSYLLIS,
65629,SYLLEHLE,SYLLIS,(EHLERSIA),SYLLIS (EHLERSIA),
65631,SYLLGRAC,SYLLIS,GRACILIS,SYLLIS GRACILIS,
65635,SYLLCORN,SYLLIS,CORNUTA,SYLLIS CORNUTA,
65637,SYLLFERR,SYLLIS,FERRUGINA,SYLLIS FERRUGINA,
65661,TRYPCOEL, , ,TRYPANOSYLLIS COELIACA,
65666,TYPOAL_1,TYPOSYLLIS,ALTERNATA OR SP. 1,TYPOSYLLIS ALTERNATA,
65666,TYPOSYLL, , ,TYPOSYLLIS SPP.,
65666,TYPOSPE1,TYPOSYLLIS,SP. 1 NMFS,TYPOSYLLIS,
65667,TYPOALTE,TYPOSYLLIS,ALTERNATA,TYPOSYLLIS ALTERNATA,
65689,TYPOLUTE,TYPOSYLLIS,LUTEA,TYPOSYLLIS LUTEA,
65721,EXOGSPEA,EXOGONE,SP. A GLASBY,EXOGONE,
65721,EXOGXXXX,EXOGONE,SP.,EXOGONE SP.,
65721,EXOGONE,EXOGONE,SPP.,EXOGONE,
65722,EXOGDISP,EXOGONE,DISPAR,EXOGONE DISPAR,
65724,EXOGLOUR, , ,EXOGONE LOUREI,
65727,EXOGVERU,EXOGONE,VERUGERA,EXOGONE VERUGERA,
65730,EXOGHEBE,EXOGONE,HEBES,EXOGONE HEBES,
65733,EXOGATLA,EXOGONE,ATLANTICA,EXOGONE ATLANTICA,
65735,SPHAEROS, , ,SPHAEROSYLLIS SPP.,
65743,SPHAACIC,SPHAEROSYLLIS,ACICULATA,SPHAEROSYLLIS ACICULATA,
65746,SPHAGLAN,SPHAEROSYLLIS,GLANDULATA,SPHAEROSYLLIS GLANDULATA,
65747,SPHATAYL,SPHAEROSYLLIS,TAYLORI,SPHAEROSYLLIS TAYLORI,
