Dataset:              Demersal Trawl Species List
File Name:            CP_DEM_S.TXT
Date Created:         17Mar1998
# Variables:          8
# Header Records:     18
# Data Records:       127
Missing Value Symbol: .

Variables:    COD_EMAP     Carolinian Province Office Taxa Code
              PHYLUM       Phylum
              CLASS        Class
              ORDER        Order
              FAMILY       Family
              GENUS        Genus
              SPECIES      Species
              COMMNAME     Common Name

COD_EMAP;PHYLUM;CLASS;ORDER;FAMILY;GENUS;SPECIES;COMMNAME
STELLANC;CHORDATA;OSTEICHTHYES;PERCIFORMES;SCIAENIDAE;Stellifer;lanceolatus;star drum
STENCAPR;CHORDATA;OSTEICHTHYES;PERCIFORMES;SPARIDAE;Stenotomus;caprinus;longspine porgy
SYMPCIVI;CHORDATA;OSTEICHTHYES;PLEURONECTIFORMES;SOLEIDAE;Symphurus;civitatus;offshore tonguefish
SYMPPLAG;CHORDATA;OSTEICHTHYES;PLEURONECTIFORMES;SOLEIDAE;Symphurus;plagiusa;blackcheek tonguefish
SYNGLOUI;CHORDATA;OSTEICHTHYES;GASTEROSTEIFORMES;SYNGNATHIDAE;Syngnathus;louisianae;chain pipefish
SYNGSCOV;CHORDATA;OSTEICHTHYES;GASTEROSTEIFORMES;SYNGNATHIDAE;Syngnathus;scovelli;gulf pipefish
SYNOFOET;CHORDATA;OSTEICHTHYES;AULOPIFORMES;SYNODONTIDAE;Synodus;foetens;inshore lizardfish
TAUTONIT;CHORDATA;OSTEICHTHYES;PERCIFORMES;LABRIDAE;Tautoga;onitis;tautog
TRACCARO;CHORDATA;OSTEICHTHYES;PERCIFORMES;CARANGIDAE;Trachinotus;carolinus;Florida pompano
TRACFALC;CHORDATA;OSTEICHTHYES;PERCIFORMES;CARANGIDAE;Trachinotus;falcatus;permit
TRINMACU;CHORDATA;OSTEICHTHYES;PLEURONECTIFORMES;SOLEIDAE;Trinectes;maculatus;hogchoker
XIPHKROY;ARTHROPODA;MALACOSTRACA;DECAPODA;PENAEIDAE;Xiphopenaeus;kroyeri;seabob
