Dataset:              Demersal Lengths - Summary by Station and Taxon
File Name:            CP_DEM_L.txt
Date Created:         02Dec1998
# Variables:          7
# Header Records:     17
# Data Records:       1682
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Station Name
              DATE         Sample collection date (YYMMDD)
              COD_EMAP     Carolinian Province Office Taxa Code
              N_LEN        Number of lengths
              M_LEN        Mean length (mm)
              SD_LEN       Standard deviation of lengths
              MEASTYPE     Length measurement type code

STA_NAME;DATE;COD_EMAP;N_LEN;M_LEN;SD_LEN;MEASTYPE
CP94019;940811;CHAEFABE;3;176.0;22.9;T
CP94019;940811;DASYSAY_;1;334.0;.;D
CP94019;940811;GOBIROBU;1;26.0;.;T
CP94019;940811;MENIMERC;1;33.0;.;C
CP94019;940811;MONAHISP;1;43.0;.;T
CP94020;940803;ARIUFELI;8;149.1;4.7;F
CP94020;940803;BREVTYRA;1;170.0;.;F
CP94020;940803;CYNOREGA;1;236.0;.;T
CP94020;940803;LEIOXANT;22;125.6;15.1;F
CP94020;940803;LOLLBREV;1;62.0;.;M
CP94020;940803;MENTAMER;1;148.0;.;T
CP94020;940803;MICRUNDU;34;170.8;13.6;T
CP94020;940803;POGOCROM;15;156.1;5.7;T
CP94020;940803;RHIZTERR;1;349.0;.;F
CP94020;940803;SPHYTIBU;2;424.5;29.0;F
CP94021;940802;BAGRMARI;2;117.5;3.5;F
CP94021;940802;CALLSAPI;3;140.0;7.0;C
CP94021;940802;CYNOREGA;21;155.3;31.1;T
CP94021;940802;LARIFASC;1;47.0;.;T
CP94021;940802;LEIOXANT;8;102.1;11.8;F
CP94021;940802;MENTAMER;1;150.0;.;T
CP94021;940802;MICRUNDU;40;139.1;14.3;T
CP94021;940802;OGCOXXSP;1;100.0;.;T
CP94021;940802;PENAAZTE;7;121.7;16.9;S
CP94021;940802;PENASETI;40;115.4;13.7;S
CP94021;940802;SELEXSP1;1;25.0;.;F
CP94021;940802;STELLANC;43;90.3;20.1;T
CP94021;940802;SYMPPLAG;4;133.5;13.5;T
CP94021;940802;TRINMACU;6;100.5;22.3;T
CP94022;940817;ANCHMITC;1;40.0;.;F
CP94022;940817;BAGRMARI;3;81.7;11.5;F
CP94022;940817;CALLSIMI;9;63.9;13.5;C
CP94022;940817;CYNOREGA;5;90.4;17.5;T
CP94022;940817;DASYSABI;1;124.0;.;D
CP94022;940817;LEIOXANT;1;118.0;.;F
CP94022;940817;LOLLBREV;9;55.9;9.3;M
CP94022;940817;MICRUNDU;15;122.6;9.8;T
CP94022;940817;PENASETI;74;107.8;9.1;S
CP94022;940817;PEPRALEP;1;49.0;.;F
CP94022;940817;STELLANC;33;64.3;21.4;T
CP94022;940817;SYMPPLAG;34;125.2;8.2;T
CP94022;940817;TRINMACU;11;107.2;17.1;T
CP94023;940815;CENTPHIL;1;132.0;.;T
CP94023;940815;DASYSABI;5;119.4;4.7;D
CP94023;940815;ETROCROS;17;75.4;11.5;T
CP94023;940815;LARIFASC;3;63.3;46.3;T
CP94023;940815;LEIOXANT;3;118.0;22.9;F
CP94023;940815;MENTAMER;32;159.8;31.2;T
CP94023;940815;PARADENT;1;151.0;.;T
CP94023;940815;PARALETH;1;284.0;.;T
CP94023;940815;PENAAZTE;5;114.6;23.5;S
CP94023;940815;PENASETI;5;127.4;18.1;S
CP94023;940815;POGOCROM;1;71.0;.;T
CP94023;940815;PORTXSPP;1;50.0;.;C
CP94023;940815;PRIOTRIB;6;73.5;6.9;T
CP94023;940815;STELLANC;80;81.0;14.9;T
CP94023;940815;SYMPPLAG;2;124.0;24.0;T
CP94023;940815;TRINMACU;2;103.0;22.6;T
CP94024;940818;ARIUFELI;11;232.6;43.8;F
CP94024;940818;CALLSIMI;1;40.0;.;C
CP94024;940818;CENTPHIL;1;139.0;.;T
CP94024;940818;CHAEFABE;1;69.0;.;T
CP94024;940818;DASYSABI;3;247.3;80.5;D
CP94024;940818;ETROCROS;5;89.2;10.2;T
CP94024;940818;LOLLBREV;8;36.0;12.8;M
CP94024;940818;MENTAMER;8;156.0;46.6;T
CP94024;940818;MICRUNDU;2;155.0;2.8;T
CP94024;940818;PARADENT;1;205.0;.;T
CP94024;940818;PENAAZTE;4;100.3;7.8;S
CP94024;940818;PENADUOR;1;84.0;.;S
