Dataset:              Water Quality Bottom Data
File Name:            CP_WQ_B.DAT
Date Created:         01Jan1998
# Variables:          10
# Header Records:     20
# Data Records:       313
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Station Name
              DATE         Sample collection date (YYMMDD)
              TIME         Sample collection time (HH:MM)
              DO           Dissolved Oxygen conc. (mg/L) at bottom
              TEMP         Temperature (C) at bottom
              SAL          Salinity (ppt) at bottom
              PH           pH (units) at bottom
              SPCOND       Specific Conductance (mS/cm @25C) surf.
              DENS         Density (Sigma t) at bottom
              DEPTH        Depth (m) of near-bottom observation

STA_NAME;DATE;TIME;DO;TEMP;SAL;PH;SPCOND;DENS;DEPTH
CP95168;950906;9:40;5.1;25.4;25.4;7.4;40.0;15.98;7.1
CP95169;950907;9:34;6.2;25.2;26.7;7.7;42.3;17.02;6.1
CP95170;950803;11:20;5.9;27.2;33.8;7.7;51.3;21.76;5.0
CP95171;950803;14:00;5.8;28.3;25.7;7.9;40.3;15.32;11.0
CP95172;950815;18:36;6.8;31.0;1.2;8.7;2.3;-3.71;3.0
CP95173;950815;15:10;5.6;32.1;34.3;7.7;52.0;20.48;5.0
CP95174;950815;13:13;5.5;31.7;21.8;7.6;34.7;11.29;1.5
CP95175;950809;14:30;6.5;30.6;25.4;8.0;39.7;14.35;1.6
CP95176;950731;12:05;6.5;29.1;19.0;8.0;30.7;10.06;1.5
CP95177;950814;9:45;6.0;32.1;17.7;7.9;28.8;8.12;1.7
CP95178;950727;10:34;5.3;29.1;16.3;7.9;26.7;8.05;1.3
CP95179;950724;14:40;7.8;32.3;17.2;8.1;28.0;7.64;0.9
CP95180;950725;10:35;5.2;30.2;17.9;7.5;29.1;8.89;2.2
CP95181;950724;11:20;6.5;30.1;18.6;7.6;30.1;9.44;3.4
CP95182;950810;11:23;5.9;30.4;13.8;8.0;22.8;5.75;2.0
CP95183;950818;10:25;4.5;30.8;30.2;8.0;47.1;17.84;1.6
CP95184;950821;13:10;5.4;32.7;20.9;7.8;33.5;10.28;0.6
CP95185;950821;10:12;4.7;30.8;23.8;7.9;37.4;13.09;1.3
CP95186;950823;11:50;5.7;30.6;24.4;8.1;38.3;13.60;1.6
CP95187;950825;13:57;7.5;27.3;24.1;8.0;37.9;14.40;2.0
CP95188;950825;11:09;6.5;27.2;17.3;7.8;28.0;9.34;2.3
CP95ASM;950927;11:25;.;.;17.0;.;.;.;0.8
CP95CB_;950811;10:52;8.2;24.7;5.0;8.2;9.0;0.91;1.0
CP95CF_;950821;13:08;5.9;29.0;19.7;7.5;31.6;10.61;1.4
CP95DIE;950926;11:58;.;.;18.6;.;.;.;1.2
CP95FOS;951010;11:08;.;.;18.9;.;.;.;2.5
CP95KOP;950926;10:50;.;.;21.5;.;.;.;1.7
CP95LTH;951025;12:27;.;.;24.2;.;.;.;2.4
CP95MI_;950803;11:25;4.9;29.6;34.4;7.8;52.2;21.42;0.9
CP95NMK;951006;10:18;.;.;22.1;.;.;.;1.7
CP95NV1;951004;10:16;.;.;13.6;.;.;.;8.1
CP95NV2;951004;11:25;.;.;16.1;.;.;.;3.0
CP95PR1;950914;9:17;7.5;25.6;12.5;7.7;20.9;6.22;2.9
CP95PR2;950914;10:42;2.3;25.0;16.3;7.2;26.7;9.27;4.8
CP95PR3;950914;12:09;5.7;25.0;11.3;7.6;19.1;5.53;4.6
CP95PR4;950914;13:40;4.4;25.1;11.0;7.4;18.6;5.28;4.0
CP95PR5;950914;15:38;0.6;25.1;10.8;7.1;18.3;5.13;4.3
CP95RC_;950801;8:35;5.4;30.0;36.6;7.9;55.2;22.94;0.5
CP95SPY;950927;12:45;.;.;21.6;.;.;.;2.5
CP95ZI_;950821;10:20;3.3;26.7;31.4;7.4;48.1;20.11;1.0
CP96201;960919;19:23;8.9;22.6;2.1;8.1;3.8;-0.72;2.1
CP96202;960918;8:55;7.4;23.7;0.6;6.9;1.2;-2.11;3.6
CP96203;960918;14:10;9.3;22.6;4.0;8.0;7.2;0.69;1.0
CP96204;960918;12:55;8.5;23.3;7.1;8.0;12.4;2.84;3.0
CP96205;960709;13:33;7.8;28.5;0.6;7.2;1.1;-3.41;3.5
CP96206;960917;17:51;8.4;24.6;3.2;8.1;5.8;-0.41;5.6
CP96207;960709;11:30;7.4;27.2;1.0;7.1;1.8;-2.74;6.2
CP96208;960919;14:08;8.1;22.0;6.3;7.8;11.0;2.56;2.7
CP96209;960919;8:04;8.1;22.2;2.2;7.6;4.0;-0.55;2.3
CP96210;960710;13:20;7.3;28.9;0.7;5.9;1.4;-3.43;3.1
CP96211;960710;9:51;6.9;28.7;0.1;7.4;0.2;-3.83;2.7
CP96212;960919;12:20;8.1;22.6;3.9;7.8;7.0;0.62;3.5
CP96213;960919;10:26;6.3;24.1;16.1;7.7;26.6;9.37;4.4
CP96214;960710;16:18;7.1;29.4;7.5;7.2;13.1;1.43;1.4
CP96215;960916;14:00;7.4;24.7;16.4;7.7;26.8;9.43;1.8
CP96216;960916;10:32;6.5;25.3;19.3;7.9;31.1;11.45;4.8
CP96217;960722;14:45;8.9;30.2;6.2;7.3;10.9;0.22;0.9
CP96218;960916;12:20;3.8;25.9;19.0;7.7;30.6;11.03;6.4
CP96219;960916;15:28;7.6;25.2;18.6;8.0;30.1;10.93;5.2
CP96220;960723;15:45;7.1;28.2;13.1;7.3;21.8;5.95;2.6
CP96221;960722;13:23;1.4;26.7;12.7;6.5;21.3;6.09;4.2
CP96222;960916;9:10;7.7;24.9;19.3;8.0;31.1;11.56;5.0
CP96223;960723;13:48;8.2;28.1;15.2;7.6;24.9;7.54;1.6
CP96224;960916;17:50;7.6;25.0;17.1;8.0;27.9;9.87;2.3
CP96225;960722;10:00;2.0;27.0;15.2;7.0;25.1;7.87;4.5
CP96226;960722;11:42;7.9;28.0;9.0;7.7;15.5;2.97;1.5
