Dataset:              Infauna Species List
File Name:            CP_BEN_S.txt
Date Created:         01OCT1999
# Variables:          6
# Header Records:     16
# Data Records:       884
Missing Value Symbol: .

Variables:    COD_EMAP     Carolinian Province Office Taxa Code
              PHYLUM       Phylum
              GROUP        General Taxonomic Group (Class, Order)
              FAMILY       Family
              GENUS        Genus
              SPECIES      Species

COD_EMAP;PHYLUM;GROUP;FAMILY;GENUS;SPECIES
ODOSXSP3;MOLLUSCA;GASTROPODA;PYRAMIDELLIDAE;ODOSTOMIA;SP3
ODOSXSPP;MOLLUSCA;GASTROPODA;PYRAMIDELLIDAE;ODOSTOMIA;SPP
OECEINCO;ARTHROPODA;TRICHOPTERA;LEPTOCERIDAE;OECETIS;INCONSPICUA
OECEXSPP;ARTHROPODA;TRICHOPTERA;LEPTOCERIDAE;OECETIS;SPP
OGYRALPH;ARTHROPODA;DECAPODA;OGYRIDIDAE;OGYRIDES;ALPHAEROSTRIS
OLIVMUTI;MOLLUSCA;GASTROPODA;OLIVIDAE;OLIVELLA;MUTICA
OPHEDENT;ANNELIDA;POLYCHAETA;OPHELIIDAE;OPHELIA;DENTICULATA
OPHIFILO;ECHINODERMATA;OPHIUROIDEA;AMPHIURIDAE;OPHIOPHRAGMUS;FILOGRANEUS
OPHIRUBR;ECHINODERMATA;OPHIUROIDEA;OPHIACTIDAE;OPHIACTIS;RUBROPODA
OSTREQUE;MOLLUSCA;BIVALVIA;OSTREIDAE;OSTREA;EQUESTRIS
OWENFUSI;ANNELIDA;POLYCHAETA;OWENIIDAE;OWENIA;FUSIFORMIS
OWENXXSP;ANNELIDA;POLYCHAETA;OWENIIDAE;OWENIA;SP.
OXYULECR;ARTHROPODA;CUMACEA;DIASTYLIDAE;OXYUROSTYLIS;LECROYAE
OXYUSMIT;ARTHROPODA;CUMACEA;DIASTYLIDAE;OXYUROSTYLIS;SMITHI
PAGAXSPP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;PAGASTIELLA;SPP
PAGUANNU;ARTHROPODA;DECAPODA;PAGURIDAE;PAGURUS;ANNULIPES
PAGUMACL;ARTHROPODA;DECAPODA;PAGURIDAE;PAGURUS;MACLAUGHLINAE
PAGUPOLL;ARTHROPODA;DECAPODA;PAGURIDAE;PAGURUS;POLLICARIS
PAGUXXSP;ARTHROPODA;DECAPODA;PAGURIDAE;PAGURUS;SP
PALAVULG;ARTHROPODA;DECAPODA;PALAEMONIDAE;PALAEMONETES;VULGARIS
PALPXXSP;ARTHROPODA;DIPTERA;CERATOPOGONIDAE;PALPOMYIA;SP
PANODEPR;ARTHROPODA;DECAPODA;GONEPLACIDAE;PANOPLAX;DEPRESSA
PANOHERB;ARTHROPODA;DECAPODA;XANTHIDAE;PANOPEUS;HERBSTII
PANOOCCI;ARTHROPODA;DECAPODA;XANTHIDAE;PANOPEUS;OCCIDENTALIS
PARA1SPP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;PARALAUTERBORNIELLA;SPP
PARA1XSP;ARTHROPODA;ISOPODA;SPHAEROMATIDAE;PARACERCEIS;SP.
PARA2XSP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;PARACLODOPELMA;SP.
PARAATTE;ARTHROPODA;AMPHIPODA;HAUSTORIIDAE;PARAHAUSTORIUS;ATTENUATUS
PARACAUD;ARTHROPODA;ISOPODA;SPHAEROMATIDAE;PARACERCEIS;CAUDATA
PARADIRE;ARTHROPODA;DIPTERA;CHIRONOMIDAE;PARACHIRONOMOUS;DIRECTUS
PARAFULG;ANNELIDA;POLYCHAETA;PARAONIDAE;PARAONIS;FULGENS
PARALITO;ANNELIDA;OLIGOCHAETA;NAIDIDAE;PARANAIS;LITORALIS
PARALONG;ARTHROPODA;AMPHIPODA;HAUSTORIIDAE;PARAHAUSTORIUS;LONGIMERUS
PARALUTE;ANNELIDA;POLYCHAETA;HESIONIDAE;PARAHESIONE;LUTEOLA
PARAOCUL;ARTHROPODA;AMPHIPODA;PHOXOCEPHALIDAE;PARAPHOXUS;OCULATUS
PARAPINN;ANNELIDA;POLYCHAETA;SPIONIDAE;PARAPRIONOSPIO;PINNATA
PARAPUSI;ARTHROPODA;AMPHIPODA;CAPRELLIDAE;PARACAPRELLA;PUSILLA
PARASUBO;MOLLUSCA;BIVALVIA;CORBULIDAE;PARAMYA;SUBOVATA
PARATENU;ARTHROPODA;AMPHIPODA;CAPRELLIDAE;PARACAPRELLA;TENUIS
PARATRIQ;MOLLUSCA;BIVALVIA;VENERIDAE;PARASTARTE;TRIQUETRA
PARAXSPB;ANNELIDA;POLYCHAETA;AMPHINOMIDAE;PARAMPHINOME;SP. B
PARAXSPP;ARTHROPODA;AMPHIPODA;HAUSTORIIDAE;PARAHAUSTORIUS;SPP
PARPLONG;ANNELIDA;POLYCHAETA;SYLLIDAE;PARAPIONOSYLLIS;LONGICIRRATA
PARVMULT;MOLLUSCA;BIVALVIA;LUCINIDAE;PARVILUCINA;MULTILINEATA
PARVOBES;MOLLUSCA;GASTROPODA;COLUMBELLIDAE;PARVANACHIS;OBESA
PARVXXSP;MOLLUSCA;BIVALVIA;LUCINIDAE;PARVILUCINA;SP (JUV)
PECTGOUL;ANNELIDA;POLYCHAETA;PECTINARIIDAE;PECTINARIA;GOULDII
PENAXXSP;ARTHROPODA;DECAPODA;PENAEIDAE;PENAEUS;SP (POSTLARVA)
PENTXXSP;ECHINODERMATA;HOLOTHUROIDEA;CUCUMARIIDAE;PENTEMERA;SP
PETRPHOL;MOLLUSCA;BIVALVIA;PETRICOLIDAE;PETRICOLA;PHOLADIFORMIS
PETTDUOF;ANNELIDA;POLYCHAETA;DORVILLEIDAE;PETTIBONEIA;DUOFURCA
PHASSTRO;SIPUNCULA;SIPUNCULA;PHASCOLIONIDAE;PHASCOLION;STROMBUS
PHORARCH;PHORONIDA;PHORONIDA;PHORONIDAE;PHORONIS;ARCHITECTA
PHORXSPP;PHORONIDA;PHORONIDA;PHORONIDAE;PHORONIS;SPP
PHOTLONG;ARTHROPODA;AMPHIPODA;COROPHIIDAE;PHOTIS;NR. LONGICAUDATA
PHYLAREN;ANNELIDA;POLYCHAETA;PHYLLODOCIDAE;PHYLLODOCE;ARENAE
PHYLMUCO;ANNELIDA;POLYCHAETA;PHYLLODOCIDAE;PHYLLODOCE;MUCOSA
PINNCHAE;ARTHROPODA;DECAPODA;PINNOTHERIDAE;PINNIXA;CHAETOPTERANA
PINNRETI;ARTHROPODA;DECAPODA;PINNOTHERIDAE;PINNIXA;RETINENS
PINNSAYA;ARTHROPODA;DECAPODA;PINNOTHERIDAE;PINNIXA;SAYANA
PINNXSPP;ARTHROPODA;DECAPODA;PINNOTHERIDAE;PINNIXA;SPP
PIONXSP1;ANNELIDA;POLYCHAETA;SYLLIDAE;PIONOSYLLIS;SP1
PIONXXSP;ANNELIDA;POLYCHAETA;SYLLIDAE;PIONOSYLLIS;SP
PIROROBE;ANNELIDA;POLYCHAETA;FLABELLIGERIDAE;PIROMIS;ROBERTI
PISIXSPP;MOLLUSCA;BIVALVIA;SPHAERIIDAE;PISIDIUM;SPP
PISTCRIS;ANNELIDA;POLYCHAETA;TEREBELLIDAE;PISTA;CRISTATA
PISTPALM;ANNELIDA;POLYCHAETA;TEREBELLIDAE;PISTA;PALMATA
PISTQUAD;ANNELIDA;POLYCHAETA;TEREBELLIDAE;PISTA;QUADRILOBATA
PLATDUME;ANNELIDA;POLYCHAETA;NEREIDAE;PLATYNEREIS;DUMERILII
PLEUTRID;MOLLUSCA;BIVALVIA;CARDITIDAE;PLEUROMERIS;TRIDENTATA
PODALEVI;ANNELIDA;POLYCHAETA;HESIONIDAE;PODARKEOPSIS;LEVIFUSCINA
PODAOBSC;ANNELIDA;POLYCHAETA;HESIONIDAE;PODARKE;OBSCURA
PODAXSP1;ANNELIDA;POLYCHAETA;HESIONIDAE;PODARKE;SP1
PODAXSPP;ANNELIDA;POLYCHAETA;HESIONIDAE;PODARKE;SPP
POECJOHN;ANNELIDA;POLYCHAETA;POECILOCHAETIDAE;POECILOCHAETUS;JOHNSONI
POLIDUPL;MOLLUSCA;GASTROPODA;NACTICIDAE;POLINICES;DUPLICATUS
POLYCARO;ANNELIDA;POLYCHAETA;TEREBELLIDAE;POLYCIRRUS;CAROLINENSIS
POLYCORN;ANNELIDA;POLYCHAETA;SPIONIDAE;POLYDORA;CORNUTA
POLYCSPP;ANNELIDA;POLYCHAETA;TEREBELLIDAE;POLYCIRRUS;SPP
POLYDSPP;ANNELIDA;POLYCHAETA;SPIONIDAE;POLYDORA;SPP
POLYEXIM;ANNELIDA;POLYCHAETA;TEREBELLIDAE;POLYCIRRUS;EXIMIUS
POLYGSPP;ANNELIDA;POLYCHAETA;POLYGORDIIDAE;POLYGORDIUS;SPP
POLYHALT;ARTHROPODA;DIPTERA;CHIRONOMIDAE;POLYPEDILUM;HALTERALE
POLYHART;ANNELIDA;POLYCHAETA;SPIONIDAE;POLYDORA;HARTMANAE
POLYHEMA;ANNELIDA;POLYCHAETA;TEREBELLIDAE;POLYCIRRUS;HEMATODES
POLYLIGN;ANNELIDA;POLYCHAETA;SPIONIDAE;POLYDORA;LIGNI
POLYPSPP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;POLYPEDILUM;SPP
POLYSCAL;ARTHROPODA;DIPTERA;CHRIONOMIDAE;POLYPEDILUM;SCALAENUM
POLYTRIT;ARTHROPODA;DIPTERA;CHIRONOMIDAE;POLYPEDILUM;TRITUM
POLYWEBS;ANNELIDA;POLYCHAETA;SPIONIDAE;POLYDORA;WEBSTERI
PORIXSP1;PORIFERA;UNID.;UNID.;UNID.;SP1
PORIXSP2;PORIFERA;UNID.;UNID.;UNID.;SP2
PORIXSP3;PORIFERA;UNID.;UNID.;UNID.;SP3
PORIXSP4;PORIFERA;UNID.;UNID.;UNID.;SP4
PORIXSP5;PORIFERA;UNID.;UNID.;UNID.;SP5
PORIXSP6;PORIFERA;UNID.;UNID.;UNID.;SP6
PORIXSP8;PORIFERA;UNID.;UNID.;UNID.;SP8
PORIXSP9;PORIFERA;UNID.;UNID.;UNID.;SP9
PORTGIBB;ARTHROPODA;DECAPODA;PORTUNIDAE;PORTUNUS;GIBBESII
PORTSAYI;ARTHROPODA;DECAPODA;PORTUNIDAE;PORTUNUS;SAYI
PRIOCIRR;ANNELIDA;POLYCHAETA;SPIONIDAE;PRIONOSPIO;CIRRIFERA
PRIOCRIS;ANNELIDA;POLYCHAETA;SPIONIDAE;PRIONOSPIO;CRISTATA
PRIOHETE;ANNELIDA;POLYCHAETA;SPIONIDAE;PRIONOSPIO;HETEROBRANCHIA
PRIOPERK;ANNELIDA;POLYCHAETA;SPIONIDAE;PRIONOSPIO;PERKINSI
PRIOXSPP;ANNELIDA;POLYCHAETA;SPIONIDAE;PRIONOSPIO;SPP
PRISJENK;ANNELIDA;OLIGOCHAETA;NAIDIDAE;PRISTINELLA;JENKINAE
PROBXSPP;ARTHROPODA;DIPTERA;CERATOPOGONIDAE;PROBEZZIA;SPP
PROCBELL;ARTHROPODA;DIPTERA;CHIRONOMIDAE;PROCLADIUS;BELLUS
PROCCORN;ANNELIDA;POLYCHAETA;SYLLIDAE;PROCERAEA;CORNUTA
PROCXSPP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;PROCLADIUS;SPP
PROCXXSP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;PROCLADIUS;SP.
PROTDEIC;ARTHROPODA;AMPHIPODA;HAUSTORIIDAE;PROTOHAUSTORIUS;DEICHMANNAE
PROTKEFE;ANNELIDA;POLYCHAETA;DORVILLIDAE;PROTODORVILLEA;KEFERSTEINI
PROTWIGL;ARTHROPODA;AMPHIPODA;HAUSTORIIDAE;PROTOHAUSTORIUS;WIGLEYI
PROTXSP2;ARTHROPODA;AMPHIPODA;HAUSTORIIDAE;PROTOHAUSTORIUS;SP2
PRUNAPIC;MOLLUSCA;GASTROPODA;MARGINELLIDAE;PRUNUM;APICINUM
PRUNXXSP;MOLLUSCA;GASTROPODA;MARGINELLIDAE;PRUNUM;SP.
PSEU2SP1;ANNELIDA;POLYCHAETA;SABELLIDAE;PSEUDOBRANCHIOMMA;SP1
PSEUAMBI;ANNELIDA;POLYCHAETA;AMPHINOMIDAE;PSEUDEURYTHOE;AMBIGUA
PSEUMINO;ARTHROPODA;CUMACEA;BODOTRIIDAE;PSEUDOLEPTOCUMA;MINOR
PSEUPAUC;ANNELIDA;POLYCHAETA;AMPHINOMIDAE;PSEUDEURYTHOE;PAUCIBRANCHIATA
PSEUTORT;ANNELIDA;POLYCHAETA;SABELLIDAE;PSEUDOPOTAMILLA;TORTUOSA
PSEUXSP1;ANNELIDA;POLYCHAETA;SPIONIDAE;PSEUDOPOLYDORA;SP1
PSEUXSP2;ANNELIDA;POLYCHAETA;SPIONIDAE;PSEUDOPOLYDORA;SP2
PSEUXSPP;ANNELIDA;POLYCHAETA;SPIONIDAE;PSEUDOPOLYDORA;SPP
PYRGPLIC;MOLLUSCA;GASTROPODA;TURRIDAE;PYRGOCYTHARA;PLICOSA
RANGCUNE;MOLLUSCA;BIVALVIA;MACTRIDAE;RANGIA;CUNEATA
RENIRENI;CNIDARIA;ANTHOZOA;RENILLIDAE;RENILLA;RENIFORMIS
RHEPHUDS;ARTHROPODA;AMPHIPODA;PHOXOCEPHALIDAE;RHEPOXYNIUS;HUDSONI
RHITHARR;ARTHROPODA;DECAPODA;XANTHIDAE;RHITHROPANOPEUS;HARRISII
RICTPUNC;MOLLUSCA;GASTROPODA;ACTEONIDAE;RICTAXIS;PUNCTOSTRIATUS
RUDINAGL;ARTHROPODA;AMPHIPODA;COROPHIIDAE;RUDILEMBOIDES;NAGLEI
RUDIXSP1;ARTHROPODA;AMPHIPODA;COROPHIIDAE;RUDILEMBOIDES;SP1
SABEFLOR;ANNELIDA;POLYCHAETA;SABELLARIIDAE;SABELLARIA;FLORIDENSIS
SABEMICR;ANNELIDA;POLYCHAETA;SABELLIDAE;SABELLA;MICROPHTHALMA
SABEVULG;ANNELIDA;POLYCHAETA;SABELLARIIDAE;SABELLARIA;VULGARIS
SABEXSP1;ANNELIDA;POLYCHAETA;SABELLARIIDAE;SABELLARIA;SP1
SABEXSPP;ANNELIDA;POLYCHAETA;SABELLARIIDAE;SABELLARIA;SPP (JUV)
SACCKOWA;HEMICHORDATA;ENTEROPNEUSTA;HARRIMANIDAE;SACCOGLOSSUS;KOWALEVSKII
SACCXXSP;ANNELIDA;POLYCHAETA;ARCHIANNELIDA;SACCOCIRRUS;SP.
SAVILAFO;ECTOPROCTA;CHEILOSTOMATA;SAVIGNYELLIDAE;SAVIGNEYELLA;LAFONTII
SCHIUNIC;ECTOPROCTA;CHEILOSTOMATA;SCHIZOPORELLIDAE;SCHIZOPORELLA;UNICORNIS
SCLEBRIA;ECHINODERMATA;HOLOTHUROIDEA;SCLERODACLYLIDAE;SCLERODACTYLA;BRIAREUS
SCOLETEX;ANNELIDA;POLYCHAETA;SPIONIDAE;SCOLELEPIS;TEXANA
SCOLOTEX;ANNELIDA;POLYCHAETA;ORBINIIDAE;SCOLOPLOS;TEXANA
SCOLRUBR;ANNELIDA;POLYCHAETA;ORBINIIDAE;SCOLOPLOS;RUBRA
SCOLTENU;ANNELIDA;POLYCHAETA;LUMBRINERIDAE;SCOLETOMA;TENUIS
SCOLTEXA;ANNELIDA;POLYCHAETA;SPIONIDAE;SCOLELEPIS;TEXANA
SCOLVERR;ANNELIDA;POLYCHAETA;LUMBRINERIDAE;SCOLETOMA;VERRILLI
SCOLXSPP;ANNELIDA;POLYCHAETA;SPIONIDAE;SCOLELEPIS;SPP
SCOLXXSP;ANNELIDA;POLYCHAETA;ORBINIIDAE;SCOLOPLOS;SP
SCRUXXSP;ECTOPROCTA;CHEILOSTOMATA;SCRUPOCELLARIIDAE;SCRUPOCELLARIA;SP
SCYPPLAT;ANNELIDA;POLYCHAETA;CAPITELLIDAE;SCYPHOPROCTUS;CF. PLATYPROCTUS
SEILADAM;MOLLUSCA;GASTROPODA;CERITHIIDAE;SEILA;ADAMSI
SEMEPROF;MOLLUSCA;BIVALVIA;SEMELIDAE;SEMELE;PROFICUA
SIALMOHR;ARTHROPODA;NEUROPTERA;SIALIDAE;SIALIS;MOHRI
SIALXSPP;ARTHROPODA;MEGALOPTERA;SIALIDAE;SIALIS;SPP
SIGABASS;ANNELIDA;POLYCHAETA;PILARGIDAE;SIGAMBRA;BASSI
SIGATENT;ANNELIDA;POLYCHAETA;PILARGIDAE;SIGAMBRA;TENTACULATA
SINUPERS;MOLLUSCA;GASTROPODA;NACTICIDAE;SINUM;PERSPECTIVUM
SMARVIRI;MOLLUSCA;GASTROPODA;NERITIDAE;SMARAGDIA;VIRIDIS
SOLEVIRI;MOLLUSCA;BIVALVIA;SOLENIDAE;SOLEN;VIRIDIS
SPHAACIC;ANNELIDA;POLYCHAETA;SYLLIDAE;SPHAEROSYLLIS;ACICULATA
SPHABILO;ANNELIDA;POLYCHAETA;SYLLIDAE;SPHAEROSYLLIS;BILOBATA
SPHALABY;ANNELIDA;POLYCHAETA;SYLLIDAE;SPHAEROSYLLIS;LABYRINTHOPHILA
SPHAPERK;ANNELIDA;POLYCHAETA;SYLLIDAE;SPHAEROSYLLIS;PERKINSI
SPHATAYL;ANNELIDA;POLYCHAETA;SYLLIDAE;SPHAEROSYLLIS;TAYLORI
SPHAXSPP;ANNELIDA;POLYCHAETA;SYLLIDAE;SPHEAROSYLLIS;SPP
SPHAXXSP;MOLLUSCA;BIVALVIA;SPHAERIIDAE;SPHAERIUM;SP
SPHEANTI;MOLLUSCA;BIVALVIA;MYIDAE;SPHENIA;ANTILLENSIS
SPIOBOMB;ANNELIDA;POLYCHAETA;SPIONIDAE;SPIOPHANES;BOMBYX
SPIOMISS;ANNELIDA;POLYCHAETA;SPIONIDAE;SPIOPHANES;MISSIONENSIS
SPIOOCUL;ANNELIDA;POLYCHAETA;CHAETOPTERIDAE;SPIOCHAETOPTERUS;COSTARUM OCULATUS
SPIOPETT;ANNELIDA;POLYCHAETA;SPIONIDAE;SPIO;PETTIBONEAE
SPIOXXSP;ANNELIDA;POLYCHAETA;CHAETOPTERIDAE;SPIOCHAETOPTERUS;SP.
SPIRXSP2;ANNELIDA;POLYCHAETA;SPIRORBIDAE;UNID.;SP2
SPISSOLI;MOLLUSCA;BIVALVIA;MACTRIDAE;SPISULA;SOLIDISSIMA
STENTHER;ARTHROPODA;AMPHIPODA;PLEUSTIDAE;STENOPLEUSTES;THERMIS
STHEBOA_;ANNELIDA;POLYCHAETA;SIGALIONIDAE;STHENELAIS;BOA
STHELIMI;ANNELIDA;POLYCHAETA;SIGALIONIDAE;STHENELAIS;LIMICOLA
STICCAFF;ARTHROPODA;DIPTERA;CHIRONOMIDAE;STICTOCHIRONOMUS;CAFFARIUS
STREBENE;ANNELIDA;POLYCHAETA;SPIONIDAE;STREBLOSPIO;BENEDICTI
STREHART;ANNELIDA;POLYCHAETA;TEREBELLIDAE;STREBLOSOMA;HARTMANAE
STREPETT;ANNELIDA;POLYCHAETA;SYLLIDAE;STREPTOSYLLIS;PETTIBONEAE
STREVERR;ANNELIDA;POLYCHAETA;SYLLIDAE;STREPTOSYLLIS;VERRILLI
STREXXSP;ANNELIDA;POLYCHAETA;SYLLIDAE;STREPTOSYLLIS;SP
STYLNOTA;ARTHROPODA;ODONATA;GOMPHIDAE;STYLURUS;NOTATUS
SUNDSIBO;ECTOPROCTA;CTENOSTOMATA;VICTORELLIDAE;SUNDANELLA;SIBOGAE
SYLL1SP1;ANNELIDA;POLYCHAETA;SYLLIDAE;SYLLIS;SP1
SYLL1SP2;ANNELIDA;POLYCHAETA;SYLLIDAE;SYLLIS;SP2
SYLLALTE;ANNELIDA;POLYCHAETA;SYLLIDAE;SYLLIS;ALTERNATA
SYLLCORN;ANNELIDA;POLYCHAETA;SYLLIDAE;SYLLIS;CORNUTA
SYLLFERR;ANNELIDA;POLYCHAETA;SYLLIDAE;SYLLIS;FERRUGINA
SYLLFLOR;ANNELIDA;POLYCHAETA;SYLLIDAE;SYLLIDES;FLORIDANUS
SYLLGRAC;ANNELIDA;POLYCHAETA;SYLLIDAE;SYLLIS;GRACILIS
SYLLXSP1;ANNELIDA;POLYCHAETA;SYLLIDAE;UNID.;SP1
SYLLXSP2;ANNELIDA;POLYCHAETA;SYLLIDAE;UNID.;SP2
SYLLXSP3;ANNELIDA;POLYCHAETA;SYLLIDAE;UNID.;SP3
SYLLXXSP;ANNELIDA;POLYCHAETA;SYLLIDAE;SYLLIDES;SP
SYNAXXSP;ARTHROPODA;DECAPODA;ALPHEIDAE;SYNALPHEUS;SP
SYNCAMER;ARTHROPODA;AMPHIPODA;OEDICEROTIDAE;SYNCHELIDIUM;AMERICANUM
TAGEDIVI;MOLLUSCA;BIVALVIA;SOLECURTIDAE;TAGELUS;DIVISUS
TAGEPLEB;MOLLUSCA;BIVALVIA;SOLECURTIDAE;TAGELUS;PLEBEIUS
TANAPSAM;ARTHROPODA;TANAIDACEA;TANAIDAE;TANAISSUS;PSAMMOPHILUS
TANYSTEL;ARTHROPODA;DIPTERA;CHIRONOMIDAE;TANYPUS;STELLATUS
TANYXSPP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;TANYTARSUS;SPP
TANYXXSP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;TANYTARSUS;SP.
TECTPUSI;MOLLUSCA;MESOGASTROPODA;NATICIDAE;TECTONATICA;PUSILLA
TECTSQUA;ANNELIDA;OLIGOCHAETA;TUBIFICIDAE;TECTIDRILUS;SQUALIDUS
TECTXXSP;ANNELIDA;OLIGOCHAETA;TUBIFICIDAE;TECTIDRILUS;SP
TEINBISC;MOLLUSCA;GASTROPODA;VITRINELLIDAE;TEINOSTOMA;BISCAYNENSE
TELLAGIL;MOLLUSCA;BIVALVIA;TELLINIDAE;TELLINA;AGILIS
TELLALTE;MOLLUSCA;BIVALVIA;TELLINIDAE;TELLINA;ALTERNATA
TELLIRIS;MOLLUSCA;BIVALVIA;TELLINIDAE;TELLINA;IRIS
TELLSYMB;MOLLUSCA;BIVALVIA;TELLINIDAE;TELLINA;SYMBARITICA
TELLTAMP;MOLLUSCA;BIVALVIA;TELLINIDAE;TELLINA;TAMPAENSIS
TELLTEXA;MOLLUSCA;BIVALVIA;TELLINIDAE;TELLINA;TEXANA
TELLVERS;MOLLUSCA;BIVALVIA;TELLINIDAE;TELLINA;VERSICOLOR
TELLXSP1;MOLLUSCA;BIVALVIA;TELLINIDAE;TELLINA;SP1
TELLXSP2;MOLLUSCA;BIVALVIA;TELLINIDAE;UNID.;SP2
TELLXSP3;MOLLUSCA;BIVALVIA;TELLINIDAE;UNID.;SP3
TELLXSPP;MOLLUSCA;BIVALVIA;TELLINIDAE;TELLINA;SPP
TERECONC;MOLLUSCA;GASTROPODA;TEREBRIDAE;TEREBRA;CONCAVA
TEREDISL;MOLLUSCA;GASTROPODA;TEREBRIDAE;TEREBRA;DISLOCATA
TERESTRO;ANNELIDA;POLYCHAETA;TRICHOBRANCHIDAE;TEREBELLIDES;STROEMI
THALHART;ECHIURA;ECHIUROINEA;ECHIURIDAE;THALASSEMA;HARTMANI
THARACUT;ANNELIDA;POLYCHAETA;CIRRATULIDAE;THARYX;ACUTUS
THARANNU;ANNELIDA;POLYCHAETA;TEREBELLIDAE;THARYX;ANNULOSUS
THARKILL;ANNELIDA;POLYCHAETA;CIRRATULIDAE;THARYX;KILLARIENSIS
THARXSP1;ANNELIDA;POLYCHAETA;CIRRATULIDAE;THARYX;NEW SP1
THARXSPP;ANNELIDA;POLYCHAETA;CIRRATULIDAE;THARYX;SPP
THARXXSP;ANNELIDA;POLYCHAETA;TEREBELLIDAE;THARYX;SP.
THELSETO;ANNELIDA;POLYCHAETA;TEREBELLIDAE;THELEPUS;SETOSUS
THIEXSPP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;THIENEMANNIMYIA;SPP
THYOGEMM;ECHINODERMATA;HOLOTHUROIDEA;CUCUMARIIDAE;THYONELLA;GEMMATA
TRACCONS;ARTHROPODA;DECAPODA;PENAEIDAE;TRACHYPENAEUS;CONSTRICTUS
TRAVXSP1;ANNELIDA;POLYCHAETA;OPHELIIDAE;TRAVISIA;SP1
TUBIHETE;ANNELIDA;OLIGOCHAETA;TUBIFICIDAE;TUBIFICOIDES;HETEROCHAETUS
TUBIXSPP;ANNELIDA;OLIGOCHAETA;TUBIFICIDAE;TUBIFICOIDES;SPP
TUBIXXSP;ANNELIDA;OLIGOCHAETA;TUBIFICIDAE;TUBIFICOIDES;SP.
TUBUXSP1;NEMERTEA;ANOPLA;TUBULANIDAE;UNID.;SP1
TUBUXSP3;NEMERTEA;ANOPLA;TUBULANIDAE;UNID.;SP3
TUBUXSPP;NEMERTEA;ANOPLA;TUBULANIDAE;TUBULANUS;SPP
TURBDALL;MOLLUSCA;GASTROPODA;PYRAMIDELLIDAE;TURBONILLA;DALLI
TURBINCI;MOLLUSCA;GASTROPODA;PYRAMIDELLIDAE;TURBONILLA;INCISA
TURBINTE;MOLLUSCA;GASTROPODA;PYRAMIDELLIDAE;TURBONILLA;INTERRUPTA
TURBXSPP;MOLLUSCA;GASTROPODA;PYRAMIDELLIDAE;TURBONILLA;SPP
UNCISERR;ARTHROPODA;AMPHIPODA;COROPHIIDAE;UNCIOLA;SERRATA
UNCIXXSP;ARTHROPODA;AMPHIPODA;COROPHIIDAE;UNCIOLA;SP
UNIOXSPP;ARTHROPODA;ARACHNIDA/ACARINA;UNIONICOLIDAE;UNIONICOLA;SPP
UPOGAFFI;ARTHROPODA;DECAPODA;THALASSINIDEA;UPOGEBIA;AFFINUS
UROSCINE;MOLLUSCA;GASTROPODA;MURICIDAE;UROSALPINX;CINERA
VALVTRIC;MOLLUSCA;GASTROPODA;VALVATIDAE;VALVATA;TRICARINATA
VALVXSPP;MOLLUSCA;GASTROPODA;VALVATIDAE;VALVATA;SPP
VITRHELI;MOLLUSCA;GASTROPODA;VITRINELLIDAE;VITRINELLA;HELICOIDEA
VITRXXSP;MOLLUSCA;GASTROPODA;VITRINELLIDAE;VITRINELLA;SP (JUV)
XENABREV;ARTHROPODA;ISOPODA;ANTHURIDAE;XENANTHURA;BREVITELSON
XXX1AMPH;ANNELIDA;POLYCHAETA;AMPHARETIDAE;UNID.;UNID.
XXX1BRAC;BRACHIOPODA;UNID.;UNID.;UNID.;UNID.
XXX1CARI;NEMERTEA;ANOPLA;CARINOMIDAE;UNID.;UNID.
XXX1CHAE;ANNELIDA;POLYCHAETA;CHAETOPTERIDAE;UNID.;UNID.
XXX1HYDR;MOLLUSCA;GASTROPODA;HYDROBIIDAE;UNID.;UNID.
XXX1LUMB;ANNELIDA;OLIGOCHAETA;LUMBRICULIDAE;UNID.;UNID.
XXX1OSTR;MOLLUSCA;BIVALVIA;OSTREIDAE;UNID.;UNID.
XXX1POLY;ANNELIDA;POLYCHAETA;POLYNOIDAE;UNID.;UNID.
XXX1SPHA;MOLLUSCA;BIVALVIA;SPHAERIIDAE;UNID.;UNID.
XXX2AMPH;ARTHROPODA;AMPHIPODA;UNID.;UNID.;UNID.
XXX2CARI;ARTHROPODA;DECAPODA/CARIDEA;UNID.;UNID.;UNID.
XXX2HYDR;CNIDARIA;HYDROZOA;UNID.;UNID.;UNID.
XXX2OSTR;ARTHROPODA;OSTRACODA;UNID.;UNID.;UNID.
XXX2POLY;ANNELIDA;POLYCHAETA;UNID.;UNID.;UNID.
XXX3AMPH;ECHINODERMATA;OPHIUROIDEA;AMPHIURIDAE;UNID.;UNID.
XXX4AMPH;NEMERTEA;ENOPLA;AMPHIPORIDAE;UNID.;UNID.
