Dataset:              Infauna Species List
File Name:            CP_BEN_S.txt
Date Created:         01OCT1999
# Variables:          6
# Header Records:     16
# Data Records:       884
Missing Value Symbol: .

Variables:    COD_EMAP     Carolinian Province Office Taxa Code
              PHYLUM       Phylum
              GROUP        General Taxonomic Group (Class, Order)
              FAMILY       Family
              GENUS        Genus
              SPECIES      Species

COD_EMAP;PHYLUM;GROUP;FAMILY;GENUS;SPECIES
AXIOMUCO;ANNELIDA;POLYCHAETA;MALDANIDAE;AXIOTHELLA;MUCOSA
AXIOSQUA;ECHINODERMATA;OPHIUROIDEA;AMPHIURIDAE;AXIOGNATHUS;SQUAMATUS
AXIOXXSP;ANNELIDA;POLYCHAETA;MALDANIDAE;AXIOTHELLA;SP
BALA1SPP;HEMICHORDATA;ENTEROPNEUSTA;PTYCHODERIDAE;BALANOGLOSSUS;SPP
BALAAURA;HEMICHORDATA;ENTEROPNEUSTA;HARRIMANIDAE;BALANOGLOSSUS;AURANTIACUS
BALAVENU;ARTHROPODA;CIRRIPEDIA;BALANIDAE;BALANUS;VENUSTUS
BALAXSPP;ARTHROPODA;CIRRIPEDIA;BALANIDAE;BALANUS;SPP
BARBXXSP;MOLLUSCA;BIVALVIA;ARCIDAE;BARBATIA;SP
BATECATH;ARTHROPODA;AMPHIPODA;BATEIDAE;BATEA;CATHARINENSIS
BEANKLUG;ECTOPROCTA;CHEILOSTOMATA;BEANIIDAE;BEANIA;KLUGEI
BEMLSETO;ARTHROPODA;AMPHIPODA;AORIDAE;BEMLOS;SETOSUS
BEMLUNIC;ARTHROPODA;AMPHIPODA;AORIDAE;BEMLOS;UNICORNIS
BEMLXXSP;ARTHROPODA;AMPHIPODA;AORIDAE;BEMLOS;SP
BHAWHETE;ANNELIDA;POLYCHAETA;CHRYSOPETALIDAE;BHAWANIA;HETEROSETA
BIFFBIFO;ARTHROPODA;DECAPODA;CALLIANASSIDAE;BIFFARIUS;BIFORMIS
BITTVARI;MOLLUSCA;GASTROPODA;CERITHIIDAE;BITTIOLUM;VARIUM
BOCCHAMA;ANNELIDA;POLYCHAETA;SPIONIDAE;BOCCARDIELLA;HAMATA
BOGUENIG;ANNELIDA;POLYCHAETA;MALDANIDAE;BOGUEA;ENIGMATICA
BOWEGRAC;ECTOPROCTA;CTENOSTOMATA;VESICULARIIDAE;BOWERBANKIA;GRACILIS
BOWEIMBR;ECTOPROCTA;CTENOSTOMATA;VESICULARIIDAE;BOWERBANKIA;IMBRICATA
BOWEMAXI;ECTOPROCTA;CTENOSTOMATA;VESICULARIIDAE;BOWERBANKIA;MAXIMA
BOWMFLOR;ARTHROPODA;MYSIDACEA;MYSIDAE;BOWMANIELLA;FLORIDANA
BOWMXSPP;ARTHROPODA;MYSIDACEA;MYSIDAE;BOWMANIELLA;SPP
BOWMXXSP;ARTHROPODA;MYSIDACEA;MYSIDAE;BOWMANIELLA;SP.
BRACEXUS;MOLLUSCA;BIVALVIA;MYTILIDAE;BRACHIDONTES;EXUSTUS
BRACXXSP;MOLLUSCA;BIVALVIA;MYTILIDAE;BRACHIDONTES;SP
BRANAMER;ANNELIDA;POLYCHAETA;MALDANIDAE;BRANCHIOASYCHIS;AMERICANUS
BRANAREN;ANNELIDA;POLYCHAETA;SABELLIDAE;BRANCHIOMMA;ARENOSUM
BRANCARI;CHORDATA;CEPHALOCHORDATA;BRANCHIOSTOMIDAE;BRANCHIOSTOMA;CARIBAEUM
BRANCLAV;ANNELIDA;POLYCHAETA;SYLLIDAE;BRANIA;CLAVATA
BRANNIGR;ANNELIDA;POLYCHAETA;SABELLIDAE;BRANCHIOMMA;NIGROMACULATA
BRANSWED;ANNELIDA;POLYCHAETA;SYLLIDAE;BRANIA;SWEDMARKI
BRANWELL;ANNELIDA;POLYCHAETA;SYLLIDAE;BRANIA;WELLFLEETENSIS
BRANXSPP;ANNELIDA;POLYCHAETA;SYLLIDAE;BRANIA;SPP
BUGUNERI;ECTOPROCTA;CHEILOSTOMATA;BUGULIDAE;BUGULA;NERITINA
BUGUXSPP;ECTOPROCTA;CHEILOSTOMATA;BUGULIDAE;BUGULA;SPP
BULLSTRI;MOLLUSCA;GASTROPODA;BULLIDAE;BULLA;STRIATA
BULLXSPP;MOLLUSCA;GASTROPODA;BULLIDAE;BULLA;SPP.
BUSYCARI;MOLLUSCA;GASTROPODA;MELONGENIDAE;BUSYCON;CARICA
BUSYSPIR;MOLLUSCA;GASTROPODA;MELONGENIDAE;BUSYCOTYPUS;SPIRATUS
CABIINCE;ANNELIDA;POLYCHAETA;PILARGIDAE;CABIRA;INCERTA
CAECNITI;MOLLUSCA;GASTROPODA;CAECIDAE;CAECUM;NITIDUM
CAECPULC;MOLLUSCA;GASTROPODA;CAECIDAE;CAECUM;PULCHELLUM
CAECSTRI;MOLLUSCA;GASTROPODA;CAECIDAE;CAECUM;STRIGOSUM
CALLBREV;ARTHROPODA;PYCNOGONIDA;PALLENIDAE;CALLIPALLENE;BREVIROSTRIS
CALLMAJO;ARTHROPODA;DECAPODA;CALLIANASSIDAE;CALLICHIRUS;MAJOR
CALLSAPI;ARTHROPODA;DECAPODA;PORTUNIDAE;CALLINECTES;SAPIDUS
CAMPAFFI;ARTHROPODA;CUMACEA;NANNASTACIDAE;CAMPYLASPIS;AFFINIS
CAPICAPI;ANNELIDA;POLYCHAETA;CAPITELLIDAE;CAPITELLA;CAPITATA COMPLEX
CAPIJONE;ANNELIDA;POLYCHAETA;CAPITELLIDAE;CAPITELLA;JONESI
CAPRSCAU;ARTHROPODA;AMPHIPODA;CAPRELLIDAE;CAPRELLA;NR. SCAURA
CAPRXXSP;ARTHROPODA;AMPHIPODA;CAPRELLIDAE;CAPRELLA;SP
CARAHOBS;ANNELIDA;POLYCHAETA;SPIONIDAE;CARAZZIELLA;HOBSONAE
CARDGEMM;MOLLUSCA;BIVALVIA;CUSPIDARIIDAE;CARDIOMYA;GEMMA
CARIXSP1;NEMERTEA;ANOPLA;CARINOMIDAE;UNID.;SP1
CARIXSP2;NEMERTEA;ANOPLA;CARINOMIDAE;UNID.;SP2
CAULXSP1;ANNELIDA;POLYCHAETA;CIRRATULIDAE;CAULLERIELLA;SP1
CAULXSP2;ANNELIDA;POLYCHAETA;CIRRATULIDAE;CAULLERIELLA;SP2
CAULXSP3;ANNELIDA;POLYCHAETA;CIRRATULIDAE;CAULLERIELLA;SP3
CAULXSPP;ANNELIDA;POLYCHAETA;CIRRATULIDAE;CAULLERIELLA;SPP
CERABENT;ARTHROPODA;AMPHIPODA;ISCHYROCERIDAE;CERAPUS;BENTHOPHILUS
CERAIRRI;ANNELIDA;POLYCHAETA;NEREIDAE;CERATONEREIS;IRRITABILIS
CERATUBU;ARTHROPODA;AMPHIPODA;ISCHYROCERIDAE;CERAPUS;TUBULARIS
CERAXSP1;ARTHROPODA;AMPHIPODA;ISCHYROCERIDAE;CERAPUS;SP1
CERAXSPP;ARTHROPODA;AMPHIPODA;ISCHYROCERIDAE;CERAPUS;SPP
CERELACT;NEMERTEA;ANOPLA;LINEIDAE;CEREBRATULUS;LACTEUS
CERIMUSC;MOLLUSCA;GASTROPODA;CERITHIIDAE;CERITHIUM;MUSCARUM
CERIXSPP;MOLLUSCA;GASTROPODA;CERITHIIDAE;CERITHIUM;SPP
CHAEVARI;ANNELIDA;POLYCHAETA;CHAETOPTERIDAE;CHAETOPTERUS;VARIOPEDATUS
CHAOALBA;ARTHROPODA;DIPTERA;CHAOBORIDAE;CHAOBORUS;ALBATUS
CHAOPUNC;ARTHROPODA;DIPTERA;CHAOBORIDAE;CHAOBORUS;PUNCTIPENNIS
CHAOXSPP;ARTHROPODA;DIPTERA;CHAOBORIDAE;CHAOBORUS;SPP
CHEIXSP3;ECTOPROCTA;CHEILOSTOMATA;UNID.;UNID.;SP3
CHEIXSP4;ECTOPROCTA;CHEILOSTOMATA;UNID.;UNID.;SP4
CHIOCANC;MOLLUSCA;BIVALVIA;VENERIDAE;CHIONE;CANCELLATA
CHIR1SPP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;CHIRONOMUS;SPP
CHIRALMY;ARTHROPODA;ISOPODA;CHAETILIIDAE;CHIRIDOTEA;ALMYRA
CHIRCOEC;ARTHROPODA;ISOPODA;CHAETILIIDAE;CHIRIDOTEA;COECA
CHIRPLUM;ARTHROPODA;DIPTERA;CHIRONOMIDAE;CHIRONOMUS;PLUMULOSUS
CHIRSTEN;ARTHROPODA;ISOPODA;CHAETILIIDAE;CHIRIDOTEA;STENOPS
CHIRSTIG;ARTHROPODA;DIPTERA;CHIRONOMIDAE;CHIRONOMUS;STIGMATERUS
CHIRXSP2;ARTHROPODA;DIPTERA;CHIRONOMIDAE;CHIRONOMUS;SP2
CHIRXSPP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;CHIRONOMINI (TRIBE);SPP
CHIRXXSP;ARTHROPODA;ISOPODA;CHAETILIIDAE;CHIRIDOTEA;SP
CHONXSP1;ANNELIDA;POLYCHAETA;SABELLIDAE;CHONE;SP1
CHONXSPP;ANNELIDA;POLYCHAETA;SABELLIDAE;CHONE;SPP
CIRR1SPP;ANNELIDA;POLYCHAETA;PARAONIDAE;CIRROPHORUS;SPP
CIRRBRAN;ANNELIDA;POLYCHAETA;PARAONIDAE;CIRROPHORUS;BRANCHIATUS
CIRRXSP1;ANNELIDA;POLYCHAETA;PARAONIDAE;CIRROPHORUS;SP1
