Dataset:              Benthic Infauna Community Summary
File Name:            CP_BEN_C.txt
Date Created:         01OCT1999
# Variables:          6
# Header Records:     16
# Data Records:       318
Missing Value Symbol: .

Variables:    STA_NAME     CPO Sampling Station Code
              DATE         Sample collection date (YYMMDD)
              N_GRABS      Number of grabs
              I_TAXA       Mean number of infaunal taxa per grab
              I_ORGS       Mean infaunal abundance per grab
              I_HPRIME     Mean inf. H prime diversity per grab

STA_NAME;DATE;N_GRABS;I_TAXA;I_ORGS;I_HPRIME
CP95188;950825;2;39.00;381.50;3.74
CP95ASM;950927;2;5.00;19.00;1.78
CP95CB_;950811;2;7.00;32.50;1.73
CP95CF_;950822;2;10.00;398.00;0.81
CP95DIE;950926;2;2.00;4.00;0.73
CP95FOS;951010;2;6.50;91.00;1.21
CP95KIA;951012;.;.;.;.
CP95KOP;950926;2;2.00;10.00;0.48
CP95LON;951012;.;.;.;.
CP95LTH;951025;2;17.00;161.00;2.27
CP95MI_;950803;2;9.00;43.00;2.36
CP95NMK;951006;2;2.00;27.00;0.31
CP95NV1;951004;2;8.00;23.00;2.74
CP95NV2;951004;2;4.50;11.00;1.71
CP95PR1;950914;2;9.00;126.50;1.89
CP95PR2;950914;2;1.50;1.50;0.50
CP95PR3;950914;2;2.50;11.50;1.10
CP95PR4;950914;2;2.50;12.00;1.10
CP95PR5;950914;2;1.50;1.50;0.50
CP95RC_;950801;2;12.50;30.50;3.31
CP95SPY;950927;2;10.00;211.50;2.17
CP95ZI_;950822;2;10.00;308.50;1.73
CP96201;960919;2;7.00;72.50;2.17
CP96202;960918;2;2.00;5.50;0.70
CP96203;960918;2;8.00;26.00;2.01
CP96204;960918;2;10.50;76.00;2.62
CP96205;960709;2;4.00;10.00;1.71
CP96206;960917;2;1.50;5.50;0.36
CP96207;960709;2;3.00;11.50;1.36
CP96208;960919;2;5.50;96.50;1.17
CP96209;960919;2;13.00;37.00;3.33
CP96210;960710;2;5.50;16.50;2.25
CP96211;960710;2;9.00;21.00;2.73
CP96212;960919;2;7.50;31.00;2.35
CP96213;960919;2;6.00;21.00;2.18
CP96214;960710;2;11.50;334.00;1.52
CP96215;960916;2;7.50;18.50;2.44
CP96216;960916;2;19.00;46.50;3.62
CP96217;960722;2;14.00;127.50;2.86
CP96218;960916;2;8.50;28.00;2.70
CP96219;960916;2;8.00;18.50;2.78
CP96220;960723;2;11.00;28.00;3.08
CP96221;960722;2;2.00;3.50;0.96
CP96222;960916;2;19.50;52.00;3.54
CP96223;960723;2;15.00;45.50;3.03
CP96224;960916;2;8.50;28.50;1.87
CP96225;960722;2;13.00;62.00;2.77
CP96226;960722;2;13.00;64.00;3.02
CP96227;960916;2;18.00;35.00;3.77
CP96228;960723;2;11.50;61.00;2.97
CP96229;960916;2;22.00;79.50;3.21
CP96230;960915;2;12.50;39.00;3.31
CP96231;960916;2;23.50;101.50;3.60
CP96232;960725;2;4.00;17.00;1.79
CP96233;960724;2;5.50;6.50;2.41
CP96234;960916;2;6.50;118.00;1.68
CP96235;960724;2;4.00;14.50;1.27
CP96236;960724;2;13.50;54.50;3.23
CP96237;960912;2;5.00;8.00;1.98
CP96238;960725;2;25.00;84.00;3.53
CP96239;960913;2;27.50;126.00;3.53
CP96240;960725;2;10.50;29.50;2.84
CP96241;960729;2;20.50;56.50;3.62
CP96242;960729;2;18.00;75.50;3.46
CP97022;970814;3;12.33;136.00;1.74
CP97036;970717;3;1.00;1.00;0.33
CP97052;970715;3;1.33;3.33;0.24
CP97071;970823;3;10.33;118.33;1.80
CP97075;970730;3;45.67;561.00;3.66
CP97082;970724;3;2.33;25.33;0.74
CP97109;970708;3;1.67;6.67;0.48
CP97114;970716;3;15.33;170.00;3.03
CP97120;970715;3;5.67;43.00;1.93
CP97141;970723;3;12.00;31.33;2.98
CP97149;970724;3;4.33;64.67;1.01
CP97156;970722;3;3.00;20.33;0.92
CP97164;970729;3;11.00;59.00;2.89
CP97172;970813;3;3.33;66.67;0.98
CP97183;970812;3;26.00;134.33;3.43
CP97184;970812;3;31.67;520.67;3.11
CP97301;970823;3;10.00;281.00;1.65
CP97302;970823;2;12.50;212.00;2.21
CP97303;970822;2;5.00;34.00;1.27
CP97304;970823;2;6.50;73.50;1.96
CP97305;970822;2;5.50;80.00;1.79
CP97306;970820;2;4.50;174.00;1.30
CP97307;970822;2;5.50;41.50;1.33
CP97308;970820;2;5.00;23.50;1.67
CP97309;970822;2;9.00;41.00;2.62
CP97310;970708;2;9.50;184.50;1.95
CP97311;970821;2;12.50;190.50;1.63
CP97312;970908;2;15.00;344.50;2.35
CP97313;970709;1;8.00;256.00;1.70
CP97314;970708;2;13.00;320.00;2.31
CP97315;970716;2;14.00;109.00;2.85
CP97316;970819;2;21.50;133.50;3.35
CP97317;970711;2;9.50;229.50;1.50
CP97318;970819;2;11.00;57.00;2.91
CP97319;970710;2;8.50;20.50;2.64
CP97320;970715;2;5.50;20.50;1.76
CP97321;970711;2;8.00;24.50;2.31
CP97322;970711;2;2.50;5.50;1.09
CP97323;970710;2;7.50;29.50;2.54
CP97324;970819;2;16.00;69.00;3.10
CP97325;970710;3;13.00;242.33;2.17
CP97326;970818;2;16.00;78.00;3.21
CP97327;970711;2;5.50;350.50;1.65
CP97328;970819;2;10.50;36.50;2.61
CP97329;970723;2;13.50;362.50;1.86
CP97330;970819;2;7.50;29.00;2.32
CP97331;970818;2;17.50;137.00;2.81
CP97332;970819;2;5.00;10.50;2.12
CP97333;970718;2;13.50;185.50;2.31
CP97334;970717;2;0.50;0.50;0.00
CP97335;970818;2;8.50;238.50;1.40
CP97336;970717;2;0.00;0.00;0.00
CP97337;970723;2;4.00;6.50;1.74
CP97338;970717;2;5.00;128.50;1.52
CP97339;970724;2;10.00;64.00;2.31
CP97340;970722;2;23.00;64.50;4.02
CP97341;970722;2;6.50;51.00;2.03
CP97342;970703;2;17.50;131.50;3.07
CP97343;970703;2;14.50;141.00;2.69
CP97344;.;.;.;.;.
CP97345;970821;3;12.33;118.00;2.46
CP97346;970821;3;10.67;123.00;2.34
CP97347;970821;3;12.33;76.00;2.82
CP97348;970821;3;10.00;52.33;2.55
CP97349;970821;3;11.33;78.00;2.71
CP97350;970821;3;7.33;58.67;1.65
CP97351;970821;3;8.67;43.33;2.50
CP97352;970821;3;7.00;48.33;1.93
CP97353;970821;3;8.33;29.67;2.66
CP97354;970821;3;7.33;66.67;2.01
