Dataset:              Fish Counts by Species
File Name:            FISH_CNT.dat
Date Created:         06/08/10
# Variables:          7
# Header Records:     18
# Data Records:       6341
Delimiter:            ,
Missing Value Symbol: .

Variables:    STATION       Station Name                          
              STAT_ALT      Alternate Site Sampled (A B or C)  
              EVNTDATE      Event Date                          
              FTRAWLID      Fish Trawl Descriptive Data              
              FCOMNAME      Fish Taxa Common Name              
              CLASS         Fish Size Classification          
              F_COUNT       Number of this Fish Taxa caught  

STATION,STAT_ALT,EVNTDATE,FCOMNAME,F_CLASS,F_COUNT,ftrawlid,
DE00-0041,A,10/10/00,ATLANTIC CROAKER, ,9, ,
DE00-0041,A,10/10/00,BAY ANCHOVY, ,94, ,
DE00-0041,A,10/10/00,BUTTERFISH, ,2, ,
DE00-0041,A,10/10/00,CLEARNOSE SKATE, ,1, ,
DE00-0041,A,10/10/00,HOGCHOKER, ,1, ,
DE00-0041,A,10/10/00,LINED SEAHORSE, ,1, ,
DE00-0041,A,10/10/00,NORTHERN KINGFISH, ,1, ,
DE00-0041,A,10/10/00,SPOT, ,6, ,
DE00-0041,A,10/10/00,WEAKFISH, ,14, ,
DE00-0043,A,10/02/00,ATLANTIC CROAKER, ,410, ,
DE00-0043,A,10/02/00,HOGCHOKER, ,65, ,
DE00-0043,A,10/02/00,NORTHERN KINGFISH, ,3, ,
DE00-0043,A,10/02/00,NORTHERN STARGAZER, ,1, ,
DE00-0043,A,10/02/00,SILVER PERCH, ,2, ,
DE00-0043,A,10/02/00,SMALLMOUTH FLOUNDER, ,4, ,
DE00-0043,A,10/02/00,SPOT, ,1, ,
DE00-0043,A,10/02/00,SPOTTED HAKE, ,3, ,
DE00-0043,A,10/02/00,STRIPED CUSK-EEL, ,8, ,
DE00-0043,A,10/02/00,STRIPED SEAROBIN, ,3, ,
DE00-0043,A,10/02/00,WEAKFISH,CLASS 1,1, ,
DE00-0043,A,10/02/00,WEAKFISH,CLASS 2,4, ,
DE00-0043,A,10/02/00,WEAKFISH,CLASS 3,4, ,
DE00-0045,A,10/02/00,ATLANTIC CROAKER, ,34, ,
DE00-0045,A,10/02/00,BAY ANCHOVY, ,533, ,
DE00-0045,A,10/02/00,BUTTERFISH, ,2, ,
DE00-0045,A,10/02/00,CLEARNOSE SKATE, ,1, ,
DE00-0045,A,10/02/00,HOGCHOKER, ,21, ,
DE00-0045,A,10/02/00,MOONFISH, ,3, ,
DE00-0045,A,10/02/00,NORTHERN KINGFISH, ,1, ,
DE00-0045,A,10/02/00,SILVER PERCH, ,1, ,
DE00-0045,A,10/02/00,SMOOTH DOGFISH, ,3, ,
DE00-0045,A,10/02/00,SPOT, ,14, ,
DE00-0045,A,10/02/00,STRIPED SEAROBIN, ,1, ,
DE00-0045,A,10/02/00,SUMMER FLOUNDER, ,3, ,
DE00-0045,A,10/02/00,WEAKFISH, ,1, ,
DE00-0045,A,10/02/00,WEAKFISH,CLASS 2,104, ,
DE00-0047,A,10/11/00,AMERICAN EEL, ,2, ,
DE00-0047,A,10/11/00,ATLANTIC CROAKER,CLASS 3,701, ,
DE00-0047,A,10/11/00,CHANNEL CATFISH,CLASS 1,19, ,
DE00-0047,A,10/11/00,CHANNEL CATFISH,CLASS 3,15, ,
DE00-0047,A,10/11/00,CHANNEL CATFISH,CLASS 1,19, ,
DE00-0047,A,10/11/00,HOGCHOKER, ,345, ,
DE00-0047,A,10/11/00,WHITE PERCH, ,23, ,
DE00-0047,A,10/11/00,WHITE PERCH,CLASS 1,23, ,
DE00-0049,A,10/11/00,ALEWIFE, ,4, ,
DE00-0049,A,10/11/00,AMERICAN SHAD, ,2, ,
DE00-0049,A,10/11/00,ATLANTIC CROAKER, ,800, ,
DE00-0049,A,10/11/00,BAY ANCHOVY, ,15, ,
DE00-0049,A,10/11/00,BLUEBACK HERRING, ,1, ,
DE00-0049,A,10/11/00,CHANNEL CATFISH, ,1, ,
DE00-0049,A,10/11/00,HOGCHOKER, ,78, ,
DE00-0049,A,10/11/00,WHITE PERCH, ,5, ,
DE00-0051,A,10/05/00,AMERICAN EEL, ,4, ,
DE00-0051,A,10/05/00,ATLANTIC CROAKER, ,1412, ,
DE00-0051,A,10/05/00,BAY ANCHOVY, ,2, ,
DE00-0051,A,10/05/00,BLACK DRUM, ,1, ,
DE00-0051,A,10/05/00,BLUEBACK HERRING, ,1, ,
DE00-0051,A,10/05/00,HOGCHOKER, ,268, ,
DE00-0051,A,10/05/00,NORTHERN PUFFER, ,1, ,
DE00-0051,A,10/05/00,WEAKFISH, ,62, ,
DE00-0051,A,10/05/00,WHITE PERCH, ,7, ,
DE00-0053,A,10/04/00,ATLANTIC CROAKER,CLASS 1,1, ,
DE00-0053,A,10/04/00,ATLANTIC CROAKER,CLASS 2,170, ,
DE00-0053,A,10/04/00,BAY ANCHOVY, ,235, ,
DE00-0053,A,10/04/00,HOGCHOKER, ,59, ,
DE00-0053,A,10/04/00,NORTHERN SEAROBIN, ,7, ,
DE00-0053,A,10/04/00,OYSTER TOADFISH, ,20, ,
DE00-0053,A,10/04/00,SPOTTED HAKE, ,2, ,
DE00-0053,A,10/04/00,STRIPED CUSK-EEL, ,16, ,
DE00-0053,A,10/04/00,WEAKFISH, ,21, ,
DE00-0055,A,10/10/00,ATLANTIC CROAKER, ,1, ,
DE00-0055,A,10/10/00,BAY ANCHOVY, ,114, ,
DE00-0055,A,10/10/00,BLACK SEA BASS, ,1, ,
DE00-0055,A,10/10/00,OYSTER TOADFISH, ,4, ,
DE00-0057,A,10/03/00,ATLANTIC CROAKER, ,1, ,
DE00-0057,A,10/03/00,BAY ANCHOVY, ,3, ,
DE00-0057,A,10/03/00,BUTTERFISH, ,1, ,
DE00-0057,A,10/03/00,COWNOSE RAY, ,1, ,
DE00-0057,A,10/03/00,NORTHERN KINGFISH, ,1, ,
DE00-0057,A,10/03/00,PORGY, ,6, ,
DE00-0057,A,10/03/00,SMALLMOUTH FLOUNDER, ,2, ,
DE00-0057,A,10/03/00,STRIPED SEAROBIN, ,1, ,
DE00-0057,A,10/03/00,WINDOWPANE, ,10, ,
DE00-0059,A,09/27/00,AMERICAN EEL,CLASS 1,1, ,
DE00-0059,A,09/27/00,AMERICAN EEL,CLASS 3,7, ,
DE00-0059,A,09/27/00,ATLANTIC CROAKER, ,32, ,
DE00-0059,A,09/27/00,CHANNEL CATFISH,CLASS 1,1, ,
DE00-0059,A,09/27/00,CHANNEL CATFISH,CLASS 3,4, ,
DE00-0059,A,09/27/00,HOGCHOKER,CLASS 2,6, ,
DE00-0059,A,09/27/00,HOGCHOKER,CLASS 3,15, ,
DE00-0059,A,09/27/00,SPOT, ,4, ,
DE00-0059,A,09/27/00,WHITE PERCH,CLASS 1,12, ,
DE00-0059,A,09/27/00,WHITE PERCH,CLASS 2,23, ,
DE00-0065,B,09/29/00,ATLANTIC CROAKER, ,105, ,
DE00-0065,B,09/29/00,BAY ANCHOVY, ,2, ,
DE00-0065,B,09/29/00,BLACK DRUM, ,1, ,
DE00-0065,B,09/29/00,HOGCHOKER, ,2, ,
DE00-0065,B,09/29/00,WEAKFISH, ,3, ,
DE00-0069,B,09/22/00,ATLANTIC CROAKER, ,6, ,
DE00-0069,B,09/22/00,BROWN BULLHEAD, ,1, ,
DE00-0069,B,09/22/00,CHANNEL CATFISH, ,4, ,
DE00-0069,B,09/22/00,HOGCHOKER, ,23, ,
DE00-0069,B,09/22/00,STRIPED BASS, ,1, ,
DE00-0069,B,09/22/00,WHITE PERCH, ,13, ,
DE00-0069,B,09/22/00,WHITE PERCH,CLASS 2,3, ,
MA00-0091,A,09/08/00,ALEWIFE, ,1, ,
MA00-0091,A,09/08/00,BUTTERFISH, ,134, ,
MA00-0091,A,09/08/00,LITTLE SKATE, ,189, ,
MA00-0091,A,09/08/00,SUMMER FLOUNDER, ,3, ,
MA00-0091,A,09/08/00,WINDOWPANE, ,13, ,
MA00-0091,A,09/08/00,WINTER FLOUNDER, ,25, ,
MA00-0091,A,09/08/00,WINTER SKATE, ,9, ,
MA00-0093,A,09/08/00,BUTTERFISH, ,700, ,
MA00-0093,A,09/08/00,LITTLE SKATE, ,237, ,
MA00-0093,A,09/08/00,SCUP, ,1, ,
MA00-0093,A,09/08/00,SEA RAVEN, ,1, ,
MA00-0093,A,09/08/00,SILVER HAKE, ,1, ,
MA00-0093,A,09/08/00,SPOTTED HAKE, ,1, ,
MA00-0093,A,09/08/00,WHITE HAKE, ,1, ,
MA00-0093,A,09/08/00,WINDOWPANE, ,35, ,
MA00-0093,A,09/08/00,WINTER FLOUNDER, ,48, ,
MA00-0093,A,09/08/00,WINTER SKATE, ,28, ,
MA00-0095,A,09/09/00,BUTTERFISH, ,1, ,
MA00-0095,A,09/09/00,FOURSPOT FLOUNDER, ,1, ,
MA00-0095,A,09/09/00,LITTLE SKATE, ,57, ,
MA00-0095,A,09/09/00,LONGHORN SCULPIN, ,2, ,
MA00-0095,A,09/09/00,SEA RAVEN, ,1, ,
MA00-0095,A,09/09/00,SPINY DOGFISH, ,173, ,
MA00-0095,A,09/09/00,WINDOWPANE, ,10, ,
MA00-0095,A,09/09/00,WINTER FLOUNDER, ,33, ,
MA00-0097,A,09/09/00,CUNNER, ,1, ,
MA00-0097,A,09/09/00,FOURSPOT FLOUNDER, ,1, ,
MA00-0097,A,09/09/00,LITTLE SKATE, ,57, ,
MA00-0097,A,09/09/00,NORTHERN PIPEFISH, ,1, ,
MA00-0097,A,09/09/00,SEA RAVEN, ,4, ,
MA00-0097,A,09/09/00,SUMMER FLOUNDER, ,2, ,
MA00-0097,A,09/09/00,WINDOWPANE, ,3, ,
MA00-0097,A,09/09/00,WINTER FLOUNDER, ,33, ,
MA00-0097,A,09/09/00,WINTER SKATE, ,1, ,
MA00-0099,A,09/10/00,ACADIAN REDFISH, ,1, ,
MA00-0099,A,09/10/00,AMERICAN PLAICE, ,282, ,
MA00-0099,A,09/10/00,BLUEBACK HERRING, ,1, ,
MA00-0099,A,09/10/00,BUTTERFISH, ,1, ,
MA00-0099,A,09/10/00,FOURBEARD ROCKLING, ,2, ,
MA00-0099,A,09/10/00,FOURSPOT FLOUNDER, ,3, ,
MA00-0099,A,09/10/00,GOOSEFISH, ,1, ,
MA00-0099,A,09/10/00,LONGHORN SCULPIN, ,5, ,
MA00-0099,A,09/10/00,OCEAN POUT, ,7, ,
MA00-0099,A,09/10/00,POLLOCK, ,1, ,
MA00-0099,A,09/10/00,RED HAKE, ,175, ,
MA00-0099,A,09/10/00,SEA RAVEN, ,2, ,
MA00-0099,A,09/10/00,SILVER HAKE, ,155, ,
MA00-0099,A,09/10/00,WHITE HAKE, ,3, ,
MA00-0099,A,09/10/00,WINTER FLOUNDER, ,29, ,
MA00-0099,A,09/10/00,YELLOWTAIL FLOUNDER, ,3, ,
MA00-0101,A,09/10/00,AMERICAN PLAICE, ,89, ,
MA00-0101,A,09/10/00,BUTTERFISH, ,1, ,
MA00-0101,A,09/10/00,FOURSPOT FLOUNDER, ,4, ,
MA00-0101,A,09/10/00,GOOSEFISH, ,2, ,
MA00-0101,A,09/10/00,LONGHORN SCULPIN, ,1, ,
MA00-0101,A,09/10/00,OCEAN POUT, ,2, ,
MA00-0101,A,09/10/00,RED HAKE, ,55, ,
MA00-0101,A,09/10/00,SILVER HAKE, ,369, ,
MA00-0101,A,09/10/00,WHITE HAKE, ,2, ,
MA00-0101,A,09/10/00,WINTER FLOUNDER, ,55, ,
MA00-0101,A,09/10/00,YELLOWTAIL FLOUNDER, ,10, ,
MA00-0103,A,09/11/00,AMERICAN PLAICE, ,2, ,
MA00-0103,A,09/11/00,BUTTERFISH, ,53, ,
MA00-0103,A,09/11/00,LITTLE SKATE, ,48, ,
MA00-0103,A,09/11/00,NORTHERN SEAROBIN, ,1, ,
MA00-0103,A,09/11/00,SILVER HAKE, ,6, ,
MA00-0103,A,09/11/00,SPINY DOGFISH, ,1, ,
MA00-0103,A,09/11/00,SUMMER FLOUNDER, ,1, ,
MA00-0103,A,09/11/00,WINDOWPANE, ,3, ,
MA00-0103,A,09/11/00,WINTER FLOUNDER, ,30, ,
MA00-0103,A,09/11/00,WINTER SKATE, ,12, ,
MA00-0105,A,09/11/00,BLACK SEA BASS, ,2, ,
MA00-0105,A,09/11/00,BUTTERFISH, ,6, ,
MA00-0105,A,09/11/00,CUNNER, ,2, ,
MA00-0105,A,09/11/00,LITTLE SKATE, ,15, ,
MA00-0105,A,09/11/00,SCUP, ,54, ,
MA00-0105,A,09/11/00,SUMMER FLOUNDER, ,2, ,
MA00-0105,A,09/11/00,THORNY SKATE, ,1, ,
MA00-0105,A,09/11/00,WINTER SKATE, ,1, ,
MA00-0107,A,09/11/00,BUTTERFISH, ,10, ,
MA00-0107,A,09/11/00,CUNNER, ,1, ,
MA00-0107,A,09/11/00,LITTLE SKATE, ,29, ,
MA00-0107,A,09/11/00,NORTHERN PIPEFISH, ,3, ,
MA00-0107,A,09/11/00,NORTHERN SEAROBIN, ,2, ,
MA00-0107,A,09/11/00,ROCK GUNNEL, ,2, ,
MA00-0107,A,09/11/00,SUMMER FLOUNDER, ,1, ,
MA00-0107,A,09/11/00,TAUTOG, ,1, ,
