names,species,wids
Lumbrineris ernesti,Lumbrineris ernesti,157472
Scolelepis,NA,129623
Alitta succinea,Alitta succinea,234850
Laeonereis culveri,Laeonereis culveri,333727
Macoma,NA,138531
Pygospio elegans,Pygospio elegans,131170
Chiridotea tuftsii,Chiridotea tuftsii,119031
Chironomidae,NA,118100
Gammarus annulatus,Gammarus annulatus,158090
Limnodrilus hoffmeisteri,Limnodrilus hoffmeisteri,137556
Ampelisca abdita,Ampelisca abdita,158020
Fabricinuda trilobata,Fabricinuda trilobata,559006
Lumbrineris,NA,129337
Serpulidae,NA,988
Amphicteis,NA,129156
Coelotanypus,NA,NA
Mya arenaria,Mya arenaria,140430
Paraprionospio alata,Paraprionospio alata,334390
Amphicteis floridus,NA,NA
Monoculodes intermedius,NA,NA
Almyracuma proximoculi,Almyracuma proximoculi,157809
Manayunkia speciosa,Manayunkia speciosa,155021
Polydora,NA,129619
Sabellidae,NA,985
Ampharete finmarchica,Ampharete finmarchica,129778
Heteromysis formosa,NA,NA
Nephtyidae,NA,956
Nephtys simoni,Nephtys simoni,329561
Majidae,NA,106760
Pherusa inflata,NA,NA
Phoronis,NA,128545
Pinnotheridae,NA,106775
Loimia medusa,Loimia medusa,131499
Rictaxis,NA,160472
Cossura,NA,129251
Amphicteis gunneri,Amphicteis gunneri,129784
Doridella obscura,NA,NA
Drilonereis,NA,129200
Elasmopus,NA,101671
Harmothoe,NA,129491
Polynoidae,NA,939
Cancer irroratus,Cancer irroratus,158057
Parametopella cypris,Parametopella cypris,158130
Paranaitis speciosa,Paranaitis speciosa,157522
Cossura longocirrata,Cossura longocirrata,129984
Euclymene zonalis,NA,NA
Neomysis americana,Neomysis americana,157807
Caulleriella killariensis,NA,NA
Dexamine thea,Dexamine thea,102136
Erichsonella filiformis,Erichsonella filiformis,157888
Lacuna vincta,Lacuna vincta,140170
Microdeutopus anomalus,Microdeutopus anomalus,102043
Microprotopus raneyi,Microprotopus raneyi,157854
Neanthes arenaceodentata,Neanthes arenaceodentata,334084
Paraphoxus oculatus,Paraphoxus oculatus,102986
Pettiboneia,NA,129271
Anomia simplex,Anomia simplex,156737
Boonea seminuda,Boonea seminuda,420438
Dyspanopeus sayi,Dyspanopeus sayi,107412
Lepidonotus squamatus,Lepidonotus squamatus,130801
Sigalionidae,NA,943
Aeginellidae,NA,NA
Ancistrosyllis,NA,129462
Ancyrocephalus,NA,119279
Decapoda,NA,1130
Cladotanytarsus,NA,NA
Corbicula fluminea,NA,NA
Dicrotendipes,NA,1754713
Gammarus tigrinus,Gammarus tigrinus,102296
Paratanytarsus,NA,NA
Paratendipes,NA,NA
Polypedilum,NA,NA
Polypedilum halterale,NA,NA
Robackia,NA,NA
Stictochironomus,NA,NA
Tanytarsus,NA,156922
Ischyroceridae,NA,101389
Callianassa,NA,107072
Mysidae,NA,119822
Upogebiidae,NA,106803
Ensis,NA,138333
Microphthalmus,NA,129313
Yoldia,NA,138672
Alpheidae,NA,106776
Aricidea philbinae,NA,NA
Astarte undata,Astarte undata,156747
Ennucula tenuis,Ennucula tenuis,140584
Notocirrus spiniferus,Notocirrus spiniferus,334234
Scoloplos acutus,NA,NA
Aphelochaeta,NA,129240
Callianassidae,NA,106800
Holothuroidea,NA,123083
Macrochaeta,NA,129141
Politolana concharum,Politolana concharum,157901
Sigalion arenicola,Sigalion arenicola,157567
Travisia carnea,Travisia carnea,156679
Acteocina,NA,137866
Cossura soyeri,Cossura soyeri,129986
Nucula,NA,138262
Sabaco elongatus,Sabaco elongatus,157550
Cirratulus grandis,NA,NA
Ilyodrilus mastix,NA,NA
