Dataset:              Water Quality Surface Data
File Name:            CP_WQ_S.DAT
Date Created:         01Jan1998
# Variables:          9
# Header Records:     19
# Data Records:       313
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Station Name
              DATE         Sample collection date (YYMMDD)
              TIME         Sample collection time (HH:MM)
              DO           Dissolved Oxygen conc. (mg/L) at surface
              TEMP         Temperature (C) at surface
              SAL          Salinity (ppt) at surface
              PH           pH (units) at surface
              SPCOND       Specific Conductance (mS/cm @25C) surf.
              DENS         Density (Sigma t) at surface

STA_NAME;DATE;TIME;DO;TEMP;SAL;PH;SPCOND;DENS
CP96233;960724;12:35;10.0;29.6;14.3;8.4;23.7;6.42
CP96234;960916;9:33;7.2;24.3;19.7;8.1;31.2;11.98
CP96235;960724;14:38;8.3;30.5;10.3;7.9;17.6;3.16
CP96236;960724;11:33;6.9;28.8;12.3;8.3;20.6;5.15
CP96237;960912;17:09;6.6;27.1;14.5;7.5;24.3;7.30
CP96238;960725;13:33;7.0;30.0;31.0;7.8;47.5;18.70
CP96239;960913;9:05;6.3;26.0;31.7;8.0;48.4;20.51
CP96240;960725;17:06;6.9;29.1;27.6;7.8;42.9;16.49
CP96241;960729;17:40;6.0;28.7;23.2;7.8;36.7;13.29
CP96242;960729;9:50;4.9;26.7;22.6;7.8;35.8;13.51
CP97022;970814;8:37;6.0;28.6;26.9;7.7;41.9;16.12
CP97036;970717;9:35;7.1;27.8;13.1;7.9;21.9;6.08
CP97052;970715;10:14;7.4;28.0;7.4;8.0;12.8;1.77
CP97071;970823;10:49;8.8;24.6;2.6;8.4;4.8;-0.84
CP97075;970730;8:19;5.6;30.1;31.6;7.7;48.3;19.15
CP97082;970724;11:22;5.8;29.1;4.0;7.2;7.2;-1.11
CP97109;970708;14:25;6.8;30.4;1.0;7.0;1.8;-3.66
CP97114;970716;9:45;6.3;28.3;6.8;6.5;11.9;1.24
CP97120;970715;14:50;8.0;30.6;5.7;5.9;10.1;-0.26
CP97141;970723;13:52;6.5;29.2;35.1;8.0;53.0;22.10
CP97149;970724;9:33;6.1;29.1;3.3;7.1;6.0;-1.59
CP97156;970723;10:00;4.1;29.4;17.7;7.0;28.7;9.00
CP97164;970729;11:07;6.4;30.4;24.0;7.5;37.7;13.33
CP97172;970813;11:50;7.6;32.2;0.9;9.2;1.8;-4.30
CP97183;.;.;.;.;.;.;.;.
CP97184;.;.;.;.;.;.;.;.
CP97301;970823;13:48;10.1;27.1;1.6;8.7;3.0;-2.27
CP97302;970823;10:59;8.7;24.8;1.8;8.5;3.3;-1.50
CP97303;970822;13:50;10.2;29.0;2.4;9.0;4.3;-2.26
CP97304;970823;9:21;8.4;25.4;3.1;8.5;5.6;-0.68
CP97305;970822;14:25;8.9;27.2;3.5;8.6;6.3;-0.87
CP97306;970820;15:30;8.9;27.7;2.5;8.7;4.5;-1.77
CP97307;970822;17:25;9.8;28.4;3.5;8.6;6.3;-1.23
CP97308;970820;15:26;7.9;27.6;2.5;7.8;4.6;-1.74
CP97309;970822;9:12;6.3;27.3;0.0;7.8;0.1;-3.51
CP97310;970708;17:40;7.1;28.5;2.0;7.4;3.6;-2.37
CP97311;970821;16:18;6.7;30.4;0.1;7.3;0.2;-4.34
CP97312;970709;13:05;8.5;28.4;9.8;8.0;16.7;3.41
CP97313;970709;15:37;8.5;28.1;15.3;8.0;25.1;7.58
CP97314;970709;11:18;7.2;29.0;14.7;7.7;24.2;6.89
CP97315;970716;14:28;8.6;30.7;1.3;7.7;2.5;-3.55
CP97316;970819;16:31;7.5;28.6;19.9;8.0;31.9;10.87
CP97317;970711;16:30;7.9;27.9;8.9;8.0;15.2;2.91
CP97318;970819;11:25;7.0;28.1;19.1;8.0;30.8;10.45
CP97319;970710;11:35;6.3;29.3;15.6;7.9;25.5;7.45
CP97320;970715;12:35;7.9;29.6;6.3;8.1;11.2;0.48
CP97321;970711;14:32;7.7;27.3;10.7;7.8;18.2;4.43
CP97322;970711;10:40;6.4;27.7;8.6;7.5;14.8;2.77
CP97323;970710;15:50;8.0;29.6;13.4;8.0;22.3;5.74
CP97324;970819;15:00;7.2;28.3;21.0;8.0;33.5;11.82
CP97325;970710;13:35;7.1;29.2;12.3;8.0;20.5;5.01
CP97326;970818;17:05;7.7;29.2;19.8;8.0;31.8;10.64
CP97327;970711;12:15;7.4;26.7;9.3;7.6;15.9;3.56
CP97328;970819;13:15;7.1;28.2;20.8;8.0;33.2;11.65
CP97329;970723;11:10;6.6;29.5;13.8;7.8;23.0;6.03
CP97330;970819;10:07;6.7;28.1;20.5;7.9;32.9;11.49
CP97331;970818;15:37;7.1;29.0;21.0;8.0;33.5;11.58
CP97332;970819;16:10;7.5;26.8;34.6;8.0;52.3;22.45
CP97333;970718;11:30;7.3;29.7;0.9;7.6;1.7;-3.54
CP97334;970717;11:36;7.6;29.1;14.0;8.0;23.2;6.34
CP97335;970818;15:05;7.2;26.9;34.8;8.0;52.6;22.61
CP97336;970717;15:12;9.8;30.2;11.7;8.3;19.5;4.27
CP97337;970723;16:29;6.5;29.1;33.7;8.0;51.2;21.06
CP97338;970717;13:50;7.7;29.8;11.8;7.8;19.8;4.50
CP97339;970724;11:05;6.1;28.3;35.4;7.9;53.3;22.58
CP97340;970722;16:00;7.2;29.6;35.3;8.0;53.4;22.10
CP97341;970722;12:40;6.8;28.2;35.5;7.9;53.6;22.71
CP97342;970703;8:45;5.0;27.8;34.4;7.7;52.1;21.98
CP97343;970703;13:15;6.4;29.6;29.9;7.6;46.0;18.04
CP97344;.;.;.;.;.;.;.;.
CP97345;970821;9:09;4.2;27.7;0.0;6.7;0.1;-3.62
CP97346;970821;9:20;3.8;27.3;0.0;7.4;0.1;-3.51
CP97347;970821;11:26;4.8;27.9;0.0;6.7;0.1;-3.66
CP97348;970821;11:40;5.5;28.2;0.0;7.5;0.1;-3.76
CP97349;970821;13:40;5.8;28.7;0.0;6.6;0.1;-3.91
CP97350;970821;13:50;7.5;28.5;0.1;7.9;0.1;-3.78
CP97351;970821;15:59;7.7;28.7;0.1;7.9;0.1;-3.83
CP97352;970821;16:32;8.5;29.5;0.1;8.2;0.1;-4.05
CP97353;970821;7:00;7.3;27.1;0.1;7.4;0.2;-3.38
CP97354;970821;18:02;8.0;27.6;0.3;7.9;0.5;-3.37
